Number of Dyck words is 1430
Processing Dyck words, elapsed time = 1206μs 
Dyck words use ~ 50.832031 KB
Using 62 / 64 threads
Thread 1 is finished, elapsed time = 1647μs 
Thread 0 is finished, elapsed time = 2097μs 
Thread 10 is finished, elapsed time = 2562μs 
Thread 14 is finished, elapsed time = 2665μs 
Thread 23 is finished, elapsed time = 1791μs 
Thread 3 is finished, elapsed time = 3635μs 
Thread 11 is finished, elapsed time = 3240μs 
Thread 34 is finished, elapsed time = 1412μs 
Thread 21 is finished, elapsed time = 1963μs 
Thread 12 is finished, elapsed time = 3488μs 
Thread 2 is finished, elapsed time = 4287μs 
Thread 13 is finished, elapsed time = 3618μs 
Thread 9 is finished, elapsed time = 3922μs 
Thread 6 is finished, elapsed time = 4181μs 
Thread 7 is finished, elapsed time = 4153μs 
Thread 8 is finished, elapsed time = 4215μs 
Thread 5 is finished, elapsed time = 4438μs 
Thread 4 is finished, elapsed time = 4543μs 
Thread 16 is finished, elapsed time = 3104μs 
Thread 47 is finished, elapsed time = 1290μs 
Thread 17 is finished, elapsed time = 1081μs 
Thread 50 is finished, elapsed time = 479μs 
Thread 30 is finished, elapsed time = 2982μs 
Thread 15 is finished, elapsed time = 4461μs 
Thread 24 is finished, elapsed time = 3600μs 
Thread 25 is finished, elapsed time = 3836μs 
Thread 49 is finished, elapsed time = 1452μs 
Thread 48 is finished, elapsed time = 1943μs 
Thread 51 is finished, elapsed time = 696μs 
Thread 44 is finished, elapsed time = 1994μs 
Thread 42 is finished, elapsed time = 1290μs 
Thread 35 is finished, elapsed time = 3453μs 
Thread 31 is finished, elapsed time = 3821μs 
Thread 22 is finished, elapsed time = 2487μs 
Thread 38 is finished, elapsed time = 2519μs 
Thread 36 is finished, elapsed time = 3836μs 
Thread 39 is finished, elapsed time = 2521μs 
Thread 29 is finished, elapsed time = 4583μs 
Thread 18 is finished, elapsed time = 2635μs 
Thread 28 is finished, elapsed time = 4885μs 
Thread 19 is finished, elapsed time = 2700μs 
Thread 32 is finished, elapsed time = 4385μs 
Thread 45 is finished, elapsed time = 1119μs 
Thread 61 is finished, elapsed time = 303μs 
Thread 43 is finished, elapsed time = 1193μs 
Thread 20 is finished, elapsed time = 3150μs 
Thread 33 is finished, elapsed time = 4613μs 
Thread 46 is finished, elapsed time = 1124μs 
Thread 41 is finished, elapsed time = 3099μs 
Thread 37 is finished, elapsed time = 4323μs 
Thread 60 is finished, elapsed time = 610μs 
Thread 40 is finished, elapsed time = 3219μs 
Thread 59 is finished, elapsed time = 1054μs 
Thread 58 is finished, elapsed time = 1208μs 
Thread 27 is finished, elapsed time = 5829μs 
Thread 26 is finished, elapsed time = 5811μs 
Thread 53 is finished, elapsed time = 2089μs 
Thread 52 is finished, elapsed time = 2267μs 
Thread 56 is finished, elapsed time = 2102μs 
Thread 54 is finished, elapsed time = 2436μs 
Thread 57 is finished, elapsed time = 2327μs 
Thread 55 is finished, elapsed time = 2441μs 
Total elapsed time = 10ms 
3923351
