Number of Dyck words is 1
Processing Dyck words, elapsed time = 22μs 
Dyck words use ~ 7.000000 bytes
Using 62 / 64 threads
Thread 1 is finished, elapsed time = 24μs 
Thread 3 is finished, elapsed time = 23μs 
Thread 6 is finished, elapsed time = 16μs 
Thread 5 is finished, elapsed time = 512μs 
Thread 7 is finished, elapsed time = 4836ns 
Thread 0 is finished, elapsed time = 706μs 
Thread 4 is finished, elapsed time = 897μs 
Thread 2 is finished, elapsed time = 1088μs 
Thread 8 is finished, elapsed time = 18μs 
Thread 9 is finished, elapsed time = 21μs 
Thread 10 is finished, elapsed time = 63μs 
Thread 12 is finished, elapsed time = 18μs 
Thread 11 is finished, elapsed time = 195μs 
Thread 13 is finished, elapsed time = 73μs 
Thread 16 is finished, elapsed time = 8344ns 
Thread 14 is finished, elapsed time = 182μs 
Thread 15 is finished, elapsed time = 222μs 
Thread 17 is finished, elapsed time = 4541ns 
Thread 18 is finished, elapsed time = 4671ns 
Thread 19 is finished, elapsed time = 8519ns 
Thread 20 is finished, elapsed time = 8869ns 
Thread 21 is finished, elapsed time = 8868ns 
Thread 22 is finished, elapsed time = 8887ns 
Thread 23 is finished, elapsed time = 8704ns 
Thread 24 is finished, elapsed time = 8874ns 
Thread 25 is finished, elapsed time = 8760ns 
Thread 26 is finished, elapsed time = 87μs 
Thread 27 is finished, elapsed time = 8651ns 
Thread 29 is finished, elapsed time = 3044ns 
Thread 28 is finished, elapsed time = 34μs 
Thread 30 is finished, elapsed time = 8807ns 
Thread 31 is finished, elapsed time = 9094ns 
Thread 32 is finished, elapsed time = 76μs 
Thread 33 is finished, elapsed time = 8642ns 
Thread 34 is finished, elapsed time = 8881ns 
Thread 35 is finished, elapsed time = 8559ns 
Thread 36 is finished, elapsed time = 8625ns 
Thread 37 is finished, elapsed time = 3647ns 
Thread 38 is finished, elapsed time = 4472ns 
Thread 39 is finished, elapsed time = 6238ns 
Thread 41 is finished, elapsed time = 8943ns 
Thread 40 is finished, elapsed time = 187μs 
Thread 42 is finished, elapsed time = 60μs 
Thread 43 is finished, elapsed time = 4679ns 
Thread 44 is finished, elapsed time = 3916ns 
Thread 45 is finished, elapsed time = 9079ns 
Thread 47 is finished, elapsed time = 4660ns 
Thread 48 is finished, elapsed time = 8923ns 
Thread 49 is finished, elapsed time = 7496ns 
Thread 46 is finished, elapsed time = 210μs 
Thread 50 is finished, elapsed time = 9160ns 
Thread 51 is finished, elapsed time = 4556ns 
Thread 52 is finished, elapsed time = 14μs 
Thread 53 is finished, elapsed time = 9117ns 
Thread 54 is finished, elapsed time = 9181ns 
Thread 55 is finished, elapsed time = 8959ns 
Thread 56 is finished, elapsed time = 8733ns 
Thread 57 is finished, elapsed time = 9071ns 
Thread 58 is finished, elapsed time = 8893ns 
Thread 59 is finished, elapsed time = 8761ns 
Thread 60 is finished, elapsed time = 9192ns 
Thread 61 is finished, elapsed time = 71μs 
Total elapsed time = 6578μs 
1
