Number of Dyck words is 4862
Processing Dyck words, elapsed time = 2267μs 
Dyck words use ~ 192.080078 KB
Using 62 / 64 threads
Thread 37 is finished, elapsed time = 15ms 
Thread 61 is finished, elapsed time = 18ms 
Thread 44 is finished, elapsed time = 21ms 
Thread 28 is finished, elapsed time = 19ms 
Thread 3 is finished, elapsed time = 27ms 
Thread 52 is finished, elapsed time = 27ms 
Thread 4 is finished, elapsed time = 30ms 
Thread 1 is finished, elapsed time = 31ms 
Thread 22 is finished, elapsed time = 21ms 
Thread 47 is finished, elapsed time = 30ms 
Thread 45 is finished, elapsed time = 30ms 
Thread 18 is finished, elapsed time = 32ms 
Thread 2 is finished, elapsed time = 33ms 
Thread 38 is finished, elapsed time = 30ms 
Thread 56 is finished, elapsed time = 31ms 
Thread 39 is finished, elapsed time = 30ms 
Thread 5 is finished, elapsed time = 34ms 
Thread 9 is finished, elapsed time = 36ms 
Thread 27 is finished, elapsed time = 30ms 
Thread 14 is finished, elapsed time = 36ms 
Thread 16 is finished, elapsed time = 36ms 
Thread 48 is finished, elapsed time = 34ms 
Thread 0 is finished, elapsed time = 37ms 
Thread 53 is finished, elapsed time = 35ms 
Thread 59 is finished, elapsed time = 34ms 
Thread 8 is finished, elapsed time = 37ms 
Thread 55 is finished, elapsed time = 35ms 
Thread 17 is finished, elapsed time = 37ms 
Thread 60 is finished, elapsed time = 35ms 
Thread 58 is finished, elapsed time = 35ms 
Thread 54 is finished, elapsed time = 36ms 
Thread 33 is finished, elapsed time = 28ms 
Thread 19 is finished, elapsed time = 39ms 
Thread 57 is finished, elapsed time = 37ms 
Thread 46 is finished, elapsed time = 38ms 
Thread 11 is finished, elapsed time = 40ms 
Thread 50 is finished, elapsed time = 38ms 
Thread 7 is finished, elapsed time = 40ms 
Thread 6 is finished, elapsed time = 41ms 
Thread 41 is finished, elapsed time = 39ms 
Thread 12 is finished, elapsed time = 41ms 
Thread 13 is finished, elapsed time = 42ms 
Thread 20 is finished, elapsed time = 41ms 
Thread 49 is finished, elapsed time = 40ms 
Thread 51 is finished, elapsed time = 40ms 
Thread 43 is finished, elapsed time = 37ms 
Thread 15 is finished, elapsed time = 42ms 
Thread 29 is finished, elapsed time = 31ms 
Thread 24 is finished, elapsed time = 32ms 
Thread 10 is finished, elapsed time = 44ms 
Thread 31 is finished, elapsed time = 39ms 
Thread 35 is finished, elapsed time = 28ms 
Thread 25 is finished, elapsed time = 30ms 
Thread 40 is finished, elapsed time = 43ms 
Thread 42 is finished, elapsed time = 41ms 
Thread 36 is finished, elapsed time = 29ms 
Thread 34 is finished, elapsed time = 32ms 
Thread 21 is finished, elapsed time = 22ms 
Thread 26 is finished, elapsed time = 26ms 
Thread 23 is finished, elapsed time = 37ms 
Thread 32 is finished, elapsed time = 39ms 
Thread 30 is finished, elapsed time = 44ms 
Total elapsed time = 52ms 
46455770
