Number of Dyck words is 2
Processing Dyck words, elapsed time = 12μs 
Dyck words use ~ 23.000000 bytes
Using 62 / 64 threads
Thread 2 is finished, elapsed time = 21μs 
Thread 0 is finished, elapsed time = 469μs 
Thread 5 is finished, elapsed time = 7981ns 
Thread 3 is finished, elapsed time = 190μs 
Thread 4 is finished, elapsed time = 223μs 
Thread 1 is finished, elapsed time = 694μs 
Thread 6 is finished, elapsed time = 107μs 
Thread 7 is finished, elapsed time = 48μs 
Thread 8 is finished, elapsed time = 4224ns 
Thread 9 is finished, elapsed time = 2890ns 
Thread 10 is finished, elapsed time = 2332ns 
Thread 11 is finished, elapsed time = 2721ns 
Thread 12 is finished, elapsed time = 2417ns 
Thread 13 is finished, elapsed time = 2480ns 
Thread 14 is finished, elapsed time = 2352ns 
Thread 15 is finished, elapsed time = 2482ns 
Thread 16 is finished, elapsed time = 2564ns 
Thread 17 is finished, elapsed time = 2528ns 
Thread 18 is finished, elapsed time = 2464ns 
Thread 19 is finished, elapsed time = 2431ns 
Thread 20 is finished, elapsed time = 2765ns 
Thread 21 is finished, elapsed time = 2432ns 
Thread 22 is finished, elapsed time = 2500ns 
Thread 23 is finished, elapsed time = 2413ns 
Thread 24 is finished, elapsed time = 2368ns 
Thread 25 is finished, elapsed time = 2375ns 
Thread 26 is finished, elapsed time = 9026ns 
Thread 27 is finished, elapsed time = 57μs 
Thread 28 is finished, elapsed time = 6975ns 
Thread 29 is finished, elapsed time = 3062ns 
Thread 30 is finished, elapsed time = 2323ns 
Thread 31 is finished, elapsed time = 3780ns 
Thread 32 is finished, elapsed time = 18μs 
Thread 34 is finished, elapsed time = 3099ns 
Thread 33 is finished, elapsed time = 35μs 
Thread 35 is finished, elapsed time = 48μs 
Thread 36 is finished, elapsed time = 7071ns 
Thread 37 is finished, elapsed time = 3099ns 
Thread 39 is finished, elapsed time = 2357ns 
Thread 40 is finished, elapsed time = 8427ns 
Thread 41 is finished, elapsed time = 322μs 
Thread 38 is finished, elapsed time = 501μs 
Thread 42 is finished, elapsed time = 179μs 
Thread 45 is finished, elapsed time = 2409ns 
Thread 46 is finished, elapsed time = 4632ns 
Thread 43 is finished, elapsed time = 194μs 
Thread 44 is finished, elapsed time = 254μs 
Thread 47 is finished, elapsed time = 116μs 
Thread 49 is finished, elapsed time = 6949ns 
Thread 48 is finished, elapsed time = 126μs 
Thread 50 is finished, elapsed time = 6352ns 
Thread 51 is finished, elapsed time = 5337ns 
Thread 52 is finished, elapsed time = 3426ns 
Thread 53 is finished, elapsed time = 2489ns 
Thread 54 is finished, elapsed time = 2352ns 
Thread 55 is finished, elapsed time = 2247ns 
Thread 56 is finished, elapsed time = 4693ns 
Thread 57 is finished, elapsed time = 3602ns 
Thread 58 is finished, elapsed time = 4513ns 
Thread 59 is finished, elapsed time = 2952ns 
Thread 60 is finished, elapsed time = 4607ns 
Thread 61 is finished, elapsed time = 3060ns 
Total elapsed time = 6773μs 
5
