Number of Dyck words is 742900
Processing Dyck words, elapsed time = 369ms 
Dyck words use ~ 40.100231 MB
Using 62 / 64 threads
Thread 61 is finished, elapsed time = 17m 38s
Thread 60 is finished, elapsed time = 18m 35s
Thread 1 is finished, elapsed time = 23m 25s
Thread 3 is finished, elapsed time = 23m 34s
Thread 2 is finished, elapsed time = 23m 40s
Thread 0 is finished, elapsed time = 23m 56s
Thread 59 is finished, elapsed time = 26m 33s
Thread 58 is finished, elapsed time = 27m 2s
Thread 56 is finished, elapsed time = 27m 3s
Thread 57 is finished, elapsed time = 27m 4s
Thread 55 is finished, elapsed time = 27m 11s
Thread 45 is finished, elapsed time = 27m 40s
Thread 53 is finished, elapsed time = 27m 48s
Thread 54 is finished, elapsed time = 27m 58s
Thread 52 is finished, elapsed time = 27m 59s
Thread 44 is finished, elapsed time = 28m 8s
Thread 49 is finished, elapsed time = 28m 26s
Thread 41 is finished, elapsed time = 28m 33s
Thread 46 is finished, elapsed time = 28m 33s
Thread 48 is finished, elapsed time = 28m 37s
Thread 51 is finished, elapsed time = 28m 38s
Thread 50 is finished, elapsed time = 28m 48s
Thread 43 is finished, elapsed time = 28m 48s
Thread 47 is finished, elapsed time = 28m 51s
Thread 39 is finished, elapsed time = 28m 52s
Thread 38 is finished, elapsed time = 28m 56s
Thread 11 is finished, elapsed time = 28m 58s
Thread 37 is finished, elapsed time = 28m 59s
Thread 42 is finished, elapsed time = 29m 3s
Thread 5 is finished, elapsed time = 29m 5s
Thread 40 is finished, elapsed time = 29m 8s
Thread 9 is finished, elapsed time = 29m 10s
Thread 36 is finished, elapsed time = 29m 12s
Thread 4 is finished, elapsed time = 29m 14s
Thread 6 is finished, elapsed time = 29m 18s
Thread 7 is finished, elapsed time = 29m 20s
Thread 31 is finished, elapsed time = 29m 22s
Thread 8 is finished, elapsed time = 29m 27s
Thread 34 is finished, elapsed time = 29m 28s
Thread 10 is finished, elapsed time = 29m 31s
Thread 32 is finished, elapsed time = 29m 33s
Thread 30 is finished, elapsed time = 29m 36s
Thread 35 is finished, elapsed time = 29m 40s
Thread 16 is finished, elapsed time = 29m 41s
Thread 29 is finished, elapsed time = 29m 42s
Thread 33 is finished, elapsed time = 29m 47s
Thread 28 is finished, elapsed time = 29m 48s
Thread 27 is finished, elapsed time = 29m 57s
Thread 25 is finished, elapsed time = 30m 1s
Thread 26 is finished, elapsed time = 30m 6s
Thread 12 is finished, elapsed time = 30m 8s
Thread 17 is finished, elapsed time = 30m 15s
Thread 13 is finished, elapsed time = 30m 15s
Thread 24 is finished, elapsed time = 30m 18s
Thread 15 is finished, elapsed time = 30m 21s
Thread 14 is finished, elapsed time = 30m 22s
Thread 19 is finished, elapsed time = 30m 28s
Thread 23 is finished, elapsed time = 30m 33s
Thread 22 is finished, elapsed time = 30m 33s
Thread 18 is finished, elapsed time = 30m 34s
Thread 21 is finished, elapsed time = 30m 36s
Thread 20 is finished, elapsed time = 30m 38s
Total elapsed time = 30m 38s
1150480017950
