Number of Dyck words is 429
Processing Dyck words, elapsed time = 400μs 
Dyck words use ~ 13.545898 KB
Using 62 / 64 threads
Thread 2 is finished, elapsed time = 329μs 
Thread 3 is finished, elapsed time = 258μs 
Thread 1 is finished, elapsed time = 616μs 
Thread 6 is finished, elapsed time = 207μs 
Thread 8 is finished, elapsed time = 132μs 
Thread 5 is finished, elapsed time = 345μs 
Thread 0 is finished, elapsed time = 913μs 
Thread 7 is finished, elapsed time = 355μs 
Thread 4 is finished, elapsed time = 709μs 
Thread 13 is finished, elapsed time = 120μs 
Thread 9 is finished, elapsed time = 440μs 
Thread 11 is finished, elapsed time = 398μs 
Thread 12 is finished, elapsed time = 354μs 
Thread 16 is finished, elapsed time = 99μs 
Thread 14 is finished, elapsed time = 291μs 
Thread 15 is finished, elapsed time = 279μs 
Thread 10 is finished, elapsed time = 814μs 
Thread 18 is finished, elapsed time = 179μs 
Thread 17 is finished, elapsed time = 380μs 
Thread 19 is finished, elapsed time = 260μs 
Thread 20 is finished, elapsed time = 170μs 
Thread 21 is finished, elapsed time = 125μs 
Thread 22 is finished, elapsed time = 90μs 
Thread 23 is finished, elapsed time = 55μs 
Thread 24 is finished, elapsed time = 96μs 
Thread 26 is finished, elapsed time = 73μs 
Thread 25 is finished, elapsed time = 154μs 
Thread 27 is finished, elapsed time = 144μs 
Thread 29 is finished, elapsed time = 152μs 
Thread 31 is finished, elapsed time = 69μs 
Thread 28 is finished, elapsed time = 213μs 
Thread 30 is finished, elapsed time = 223μs 
Thread 32 is finished, elapsed time = 107μs 
Thread 34 is finished, elapsed time = 132μs 
Thread 33 is finished, elapsed time = 173μs 
Thread 35 is finished, elapsed time = 184μs 
Thread 37 is finished, elapsed time = 100μs 
Thread 36 is finished, elapsed time = 123μs 
Thread 38 is finished, elapsed time = 81μs 
Thread 39 is finished, elapsed time = 38μs 
Thread 40 is finished, elapsed time = 79μs 
Thread 41 is finished, elapsed time = 65μs 
Thread 43 is finished, elapsed time = 140μs 
Thread 42 is finished, elapsed time = 158μs 
Thread 45 is finished, elapsed time = 113μs 
Thread 44 is finished, elapsed time = 202μs 
Thread 46 is finished, elapsed time = 137μs 
Thread 48 is finished, elapsed time = 167μs 
Thread 47 is finished, elapsed time = 207μs 
Thread 49 is finished, elapsed time = 192μs 
Thread 50 is finished, elapsed time = 163μs 
Thread 52 is finished, elapsed time = 103μs 
Thread 53 is finished, elapsed time = 139μs 
Thread 51 is finished, elapsed time = 272μs 
Thread 54 is finished, elapsed time = 123μs 
Thread 56 is finished, elapsed time = 73μs 
Thread 57 is finished, elapsed time = 21μs 
Thread 55 is finished, elapsed time = 287μs 
Thread 60 is finished, elapsed time = 9673ns 
Thread 61 is finished, elapsed time = 8960ns 
Thread 58 is finished, elapsed time = 232μs 
Thread 59 is finished, elapsed time = 168μs 
Total elapsed time = 5954μs 
342562
