Number of Dyck words is 16796
Processing Dyck words, elapsed time = 7992μs 
Dyck words use ~ 729.904297 KB
Using 62 / 64 threads
Thread 61 is finished, elapsed time = 317ms 
Thread 4 is finished, elapsed time = 356ms 
Thread 56 is finished, elapsed time = 386ms 
Thread 39 is finished, elapsed time = 389ms 
Thread 59 is finished, elapsed time = 387ms 
Thread 1 is finished, elapsed time = 403ms 
Thread 2 is finished, elapsed time = 414ms 
Thread 5 is finished, elapsed time = 415ms 
Thread 40 is finished, elapsed time = 412ms 
Thread 55 is finished, elapsed time = 406ms 
Thread 3 is finished, elapsed time = 429ms 
Thread 0 is finished, elapsed time = 430ms 
Thread 45 is finished, elapsed time = 425ms 
Thread 43 is finished, elapsed time = 441ms 
Thread 13 is finished, elapsed time = 446ms 
Thread 54 is finished, elapsed time = 445ms 
Thread 21 is finished, elapsed time = 448ms 
Thread 38 is finished, elapsed time = 461ms 
Thread 46 is finished, elapsed time = 459ms 
Thread 29 is finished, elapsed time = 466ms 
Thread 51 is finished, elapsed time = 470ms 
Thread 9 is finished, elapsed time = 476ms 
Thread 58 is finished, elapsed time = 456ms 
Thread 53 is finished, elapsed time = 474ms 
Thread 52 is finished, elapsed time = 477ms 
Thread 30 is finished, elapsed time = 480ms 
Thread 10 is finished, elapsed time = 482ms 
Thread 11 is finished, elapsed time = 483ms 
Thread 60 is finished, elapsed time = 477ms 
Thread 33 is finished, elapsed time = 490ms 
Thread 12 is finished, elapsed time = 492ms 
Thread 18 is finished, elapsed time = 492ms 
Thread 15 is finished, elapsed time = 493ms 
Thread 27 is finished, elapsed time = 492ms 
Thread 57 is finished, elapsed time = 489ms 
Thread 42 is finished, elapsed time = 491ms 
Thread 49 is finished, elapsed time = 493ms 
Thread 34 is finished, elapsed time = 498ms 
Thread 47 is finished, elapsed time = 497ms 
Thread 50 is finished, elapsed time = 500ms 
Thread 48 is finished, elapsed time = 503ms 
Thread 16 is finished, elapsed time = 507ms 
Thread 25 is finished, elapsed time = 509ms 
Thread 22 is finished, elapsed time = 508ms 
Thread 31 is finished, elapsed time = 510ms 
Thread 37 is finished, elapsed time = 512ms 
Thread 19 is finished, elapsed time = 515ms 
Thread 14 is finished, elapsed time = 516ms 
Thread 26 is finished, elapsed time = 516ms 
Thread 32 is finished, elapsed time = 518ms 
Thread 6 is finished, elapsed time = 520ms 
Thread 23 is finished, elapsed time = 520ms 
Thread 24 is finished, elapsed time = 521ms 
Thread 36 is finished, elapsed time = 522ms 
Thread 28 is finished, elapsed time = 525ms 
Thread 20 is finished, elapsed time = 531ms 
Thread 17 is finished, elapsed time = 532ms 
Thread 35 is finished, elapsed time = 536ms 
Thread 41 is finished, elapsed time = 540ms 
Thread 44 is finished, elapsed time = 540ms 
Thread 7 is finished, elapsed time = 590ms 
Thread 8 is finished, elapsed time = 592ms 
Total elapsed time = 602ms 
565212506
