Number of Dyck words is 42
Processing Dyck words, elapsed time = 45μs 
Dyck words use ~ 1014.000000 bytes
Using 62 / 64 threads
Thread 0 is finished, elapsed time = 186μs 
Thread 1 is finished, elapsed time = 290μs 
Thread 2 is finished, elapsed time = 294μs 
Thread 3 is finished, elapsed time = 266μs 
Thread 5 is finished, elapsed time = 155μs 
Thread 7 is finished, elapsed time = 17μs 
Thread 8 is finished, elapsed time = 7088ns 
Thread 9 is finished, elapsed time = 8545ns 
Thread 4 is finished, elapsed time = 367μs 
Thread 6 is finished, elapsed time = 383μs 
Thread 10 is finished, elapsed time = 169μs 
Thread 11 is finished, elapsed time = 6229ns 
Thread 12 is finished, elapsed time = 7400ns 
Thread 13 is finished, elapsed time = 7604ns 
Thread 14 is finished, elapsed time = 7262ns 
Thread 15 is finished, elapsed time = 5789ns 
Thread 16 is finished, elapsed time = 12μs 
Thread 18 is finished, elapsed time = 6366ns 
Thread 17 is finished, elapsed time = 46μs 
Thread 19 is finished, elapsed time = 11μs 
Thread 20 is finished, elapsed time = 65μs 
Thread 21 is finished, elapsed time = 39μs 
Thread 22 is finished, elapsed time = 11μs 
Thread 23 is finished, elapsed time = 66μs 
Thread 24 is finished, elapsed time = 76μs 
Thread 25 is finished, elapsed time = 11μs 
Thread 26 is finished, elapsed time = 11μs 
Thread 27 is finished, elapsed time = 72μs 
Thread 28 is finished, elapsed time = 5990ns 
Thread 29 is finished, elapsed time = 5455ns 
Thread 30 is finished, elapsed time = 5849ns 
Thread 31 is finished, elapsed time = 5182ns 
Thread 32 is finished, elapsed time = 5515ns 
Thread 33 is finished, elapsed time = 4956ns 
Thread 34 is finished, elapsed time = 4393ns 
Thread 36 is finished, elapsed time = 4296ns 
Thread 37 is finished, elapsed time = 4178ns 
Thread 35 is finished, elapsed time = 369μs 
Thread 40 is finished, elapsed time = 3974ns 
Thread 39 is finished, elapsed time = 94μs 
Thread 38 is finished, elapsed time = 381μs 
Thread 42 is finished, elapsed time = 3965ns 
Thread 43 is finished, elapsed time = 3946ns 
Thread 41 is finished, elapsed time = 72μs 
Thread 45 is finished, elapsed time = 4307ns 
Thread 46 is finished, elapsed time = 3988ns 
Thread 44 is finished, elapsed time = 78μs 
Thread 48 is finished, elapsed time = 4192ns 
Thread 47 is finished, elapsed time = 4593ns 
Thread 49 is finished, elapsed time = 3938ns 
Thread 50 is finished, elapsed time = 3309ns 
Thread 51 is finished, elapsed time = 11μs 
Thread 52 is finished, elapsed time = 8567ns 
Thread 54 is finished, elapsed time = 10μs 
Thread 53 is finished, elapsed time = 113μs 
Thread 56 is finished, elapsed time = 4291ns 
Thread 55 is finished, elapsed time = 101μs 
Thread 57 is finished, elapsed time = 2804ns 
Thread 58 is finished, elapsed time = 3542ns 
Thread 59 is finished, elapsed time = 2840ns 
Thread 60 is finished, elapsed time = 3988ns 
Thread 61 is finished, elapsed time = 2960ns 
Total elapsed time = 5781μs 
3000
