Number of Dyck words is 132
Processing Dyck words, elapsed time = 134μs 
Dyck words use ~ 3.641602 KB
Using 62 / 64 threads
Thread 0 is finished, elapsed time = 245μs 
Thread 1 is finished, elapsed time = 364μs 
Thread 2 is finished, elapsed time = 414μs 
Thread 3 is finished, elapsed time = 322μs 
Thread 4 is finished, elapsed time = 365μs 
Thread 5 is finished, elapsed time = 335μs 
Thread 7 is finished, elapsed time = 23μs 
Thread 8 is finished, elapsed time = 184μs 
Thread 10 is finished, elapsed time = 22μs 
Thread 9 is finished, elapsed time = 221μs 
Thread 6 is finished, elapsed time = 504μs 
Thread 12 is finished, elapsed time = 32μs 
Thread 14 is finished, elapsed time = 19μs 
Thread 13 is finished, elapsed time = 124μs 
Thread 11 is finished, elapsed time = 342μs 
Thread 15 is finished, elapsed time = 121μs 
Thread 16 is finished, elapsed time = 74μs 
Thread 17 is finished, elapsed time = 26μs 
Thread 18 is finished, elapsed time = 74μs 
Thread 19 is finished, elapsed time = 40μs 
Thread 21 is finished, elapsed time = 17μs 
Thread 20 is finished, elapsed time = 56μs 
Thread 22 is finished, elapsed time = 23μs 
Thread 23 is finished, elapsed time = 57μs 
Thread 24 is finished, elapsed time = 35μs 
Thread 25 is finished, elapsed time = 14μs 
Thread 26 is finished, elapsed time = 14μs 
Thread 27 is finished, elapsed time = 21μs 
Thread 29 is finished, elapsed time = 12μs 
Thread 28 is finished, elapsed time = 98μs 
Thread 30 is finished, elapsed time = 28μs 
Thread 31 is finished, elapsed time = 18μs 
Thread 32 is finished, elapsed time = 22μs 
Thread 33 is finished, elapsed time = 86μs 
Thread 34 is finished, elapsed time = 18μs 
Thread 35 is finished, elapsed time = 20μs 
Thread 37 is finished, elapsed time = 11μs 
Thread 36 is finished, elapsed time = 148μs 
Thread 38 is finished, elapsed time = 69μs 
Thread 39 is finished, elapsed time = 19μs 
Thread 40 is finished, elapsed time = 66μs 
Thread 41 is finished, elapsed time = 41μs 
Thread 42 is finished, elapsed time = 11μs 
Thread 43 is finished, elapsed time = 10μs 
Thread 44 is finished, elapsed time = 17μs 
Thread 46 is finished, elapsed time = 4204ns 
Thread 45 is finished, elapsed time = 79μs 
Thread 47 is finished, elapsed time = 4638ns 
Thread 48 is finished, elapsed time = 5341ns 
Thread 50 is finished, elapsed time = 2536ns 
Thread 49 is finished, elapsed time = 36μs 
Thread 51 is finished, elapsed time = 29μs 
Thread 52 is finished, elapsed time = 3185ns 
Thread 54 is finished, elapsed time = 2588ns 
Thread 53 is finished, elapsed time = 28μs 
Thread 55 is finished, elapsed time = 23μs 
Thread 56 is finished, elapsed time = 3013ns 
Thread 57 is finished, elapsed time = 2600ns 
Thread 58 is finished, elapsed time = 9081ns 
Thread 60 is finished, elapsed time = 4298ns 
Thread 59 is finished, elapsed time = 86μs 
Thread 61 is finished, elapsed time = 8626ns 
Total elapsed time = 5855μs 
31192
