Number of Dyck words is 5
Processing Dyck words, elapsed time = 18μs 
Dyck words use ~ 79.000000 bytes
Using 62 / 64 threads
Thread 1 is finished, elapsed time = 23μs 
Thread 2 is finished, elapsed time = 170μs 
Thread 0 is finished, elapsed time = 359μs 
Thread 4 is finished, elapsed time = 18μs 
Thread 3 is finished, elapsed time = 149μs 
Thread 5 is finished, elapsed time = 115μs 
Thread 7 is finished, elapsed time = 6621ns 
Thread 6 is finished, elapsed time = 118μs 
Thread 8 is finished, elapsed time = 3580ns 
Thread 9 is finished, elapsed time = 4231ns 
Thread 11 is finished, elapsed time = 4368ns 
Thread 10 is finished, elapsed time = 42μs 
Thread 12 is finished, elapsed time = 73μs 
Thread 13 is finished, elapsed time = 61μs 
Thread 14 is finished, elapsed time = 3978ns 
Thread 15 is finished, elapsed time = 13μs 
Thread 16 is finished, elapsed time = 34μs 
Thread 17 is finished, elapsed time = 11μs 
Thread 18 is finished, elapsed time = 4111ns 
Thread 19 is finished, elapsed time = 3955ns 
Thread 20 is finished, elapsed time = 3849ns 
Thread 21 is finished, elapsed time = 4089ns 
Thread 22 is finished, elapsed time = 3797ns 
Thread 23 is finished, elapsed time = 3892ns 
Thread 24 is finished, elapsed time = 3996ns 
Thread 25 is finished, elapsed time = 3933ns 
Thread 26 is finished, elapsed time = 3860ns 
Thread 27 is finished, elapsed time = 3804ns 
Thread 28 is finished, elapsed time = 3851ns 
Thread 29 is finished, elapsed time = 3804ns 
Thread 30 is finished, elapsed time = 3808ns 
Thread 31 is finished, elapsed time = 12μs 
Thread 32 is finished, elapsed time = 27μs 
Thread 33 is finished, elapsed time = 3901ns 
Thread 34 is finished, elapsed time = 3777ns 
Thread 35 is finished, elapsed time = 3788ns 
Thread 37 is finished, elapsed time = 3953ns 
Thread 36 is finished, elapsed time = 44μs 
Thread 38 is finished, elapsed time = 58μs 
Thread 39 is finished, elapsed time = 4298ns 
Thread 40 is finished, elapsed time = 3778ns 
Thread 42 is finished, elapsed time = 3856ns 
Thread 41 is finished, elapsed time = 42μs 
Thread 43 is finished, elapsed time = 57μs 
Thread 44 is finished, elapsed time = 65μs 
Thread 45 is finished, elapsed time = 3784ns 
Thread 46 is finished, elapsed time = 3779ns 
Thread 47 is finished, elapsed time = 3719ns 
Thread 48 is finished, elapsed time = 7128ns 
Thread 49 is finished, elapsed time = 35μs 
Thread 50 is finished, elapsed time = 16μs 
Thread 52 is finished, elapsed time = 3764ns 
Thread 51 is finished, elapsed time = 44μs 
Thread 53 is finished, elapsed time = 57μs 
Thread 54 is finished, elapsed time = 33μs 
Thread 56 is finished, elapsed time = 3387ns 
Thread 55 is finished, elapsed time = 43μs 
Thread 58 is finished, elapsed time = 3660ns 
Thread 57 is finished, elapsed time = 41μs 
Thread 59 is finished, elapsed time = 40μs 
Thread 60 is finished, elapsed time = 27μs 
Thread 61 is finished, elapsed time = 12μs 
Total elapsed time = 5190μs 
36
