Number of Dyck words is 208012
Processing Dyck words, elapsed time = 103ms 
Dyck words use ~ 10.428894 MB
Using 62 / 64 threads
Thread 61 is finished, elapsed time = 1m 1s
Thread 60 is finished, elapsed time = 1m 8s
Thread 58 is finished, elapsed time = 1m 12s
Thread 59 is finished, elapsed time = 1m 20s
Thread 1 is finished, elapsed time = 1m 26s
Thread 0 is finished, elapsed time = 1m 32s
Thread 39 is finished, elapsed time = 1m 36s
Thread 23 is finished, elapsed time = 1m 41s
Thread 40 is finished, elapsed time = 1m 43s
Thread 49 is finished, elapsed time = 1m 43s
Thread 45 is finished, elapsed time = 1m 44s
Thread 53 is finished, elapsed time = 1m 44s
Thread 20 is finished, elapsed time = 1m 45s
Thread 54 is finished, elapsed time = 1m 45s
Thread 36 is finished, elapsed time = 1m 46s
Thread 24 is finished, elapsed time = 1m 46s
Thread 22 is finished, elapsed time = 1m 47s
Thread 41 is finished, elapsed time = 1m 47s
Thread 21 is finished, elapsed time = 1m 47s
Thread 51 is finished, elapsed time = 1m 48s
Thread 56 is finished, elapsed time = 1m 48s
Thread 6 is finished, elapsed time = 1m 49s
Thread 55 is finished, elapsed time = 1m 49s
Thread 37 is finished, elapsed time = 1m 49s
Thread 52 is finished, elapsed time = 1m 50s
Thread 50 is finished, elapsed time = 1m 50s
Thread 57 is finished, elapsed time = 1m 50s
Thread 38 is finished, elapsed time = 1m 50s
Thread 34 is finished, elapsed time = 1m 50s
Thread 35 is finished, elapsed time = 1m 50s
Thread 31 is finished, elapsed time = 1m 51s
Thread 19 is finished, elapsed time = 1m 51s
Thread 42 is finished, elapsed time = 1m 51s
Thread 9 is finished, elapsed time = 1m 51s
Thread 26 is finished, elapsed time = 1m 52s
Thread 25 is finished, elapsed time = 1m 52s
Thread 29 is finished, elapsed time = 1m 52s
Thread 18 is finished, elapsed time = 1m 52s
Thread 13 is finished, elapsed time = 1m 53s
Thread 11 is finished, elapsed time = 1m 53s
Thread 44 is finished, elapsed time = 1m 54s
Thread 33 is finished, elapsed time = 1m 55s
Thread 30 is finished, elapsed time = 1m 55s
Thread 15 is finished, elapsed time = 1m 55s
Thread 48 is finished, elapsed time = 1m 55s
Thread 4 is finished, elapsed time = 1m 55s
Thread 47 is finished, elapsed time = 1m 56s
Thread 3 is finished, elapsed time = 1m 56s
Thread 43 is finished, elapsed time = 1m 56s
Thread 12 is finished, elapsed time = 1m 56s
Thread 32 is finished, elapsed time = 1m 56s
Thread 8 is finished, elapsed time = 1m 57s
Thread 14 is finished, elapsed time = 1m 57s
Thread 46 is finished, elapsed time = 1m 57s
Thread 10 is finished, elapsed time = 1m 58s
Thread 27 is finished, elapsed time = 1m 58s
Thread 16 is finished, elapsed time = 1m 58s
Thread 17 is finished, elapsed time = 1m 58s
Thread 28 is finished, elapsed time = 1m 58s
Thread 2 is finished, elapsed time = 1m 58s
Thread 7 is finished, elapsed time = 1m 59s
Thread 5 is finished, elapsed time = 2m 3s
Total elapsed time = 2m 3s
89222991344
