Number of Dyck words is 1
Processing Dyck words, elapsed time = 4740ns 
Thread 136 is finished, elapsed time = 4924ns 
Thread 137 is finished, elapsed time = 1986ns 
Thread 138 is finished, elapsed time = 1955ns 
Thread 139 is finished, elapsed time = 1951ns 
Thread 140 is finished, elapsed time = 4105ns 
Thread 141 is finished, elapsed time = 2088ns 
Thread 142 is finished, elapsed time = 1840ns 
Thread 143 is finished, elapsed time = 1810ns 
Thread 144 is finished, elapsed time = 4633ns 
Thread 145 is finished, elapsed time = 3072ns 
Thread 146 is finished, elapsed time = 1949ns 
Thread 147 is finished, elapsed time = 1950ns 
Thread 148 is finished, elapsed time = 5049ns 
Thread 149 is finished, elapsed time = 1942ns 
Thread 150 is finished, elapsed time = 2410ns 
Thread 151 is finished, elapsed time = 1906ns 
Thread 152 is finished, elapsed time = 5218ns 
Thread 153 is finished, elapsed time = 2031ns 
Thread 154 is finished, elapsed time = 1958ns 
Thread 155 is finished, elapsed time = 1905ns 
Thread 156 is finished, elapsed time = 5404ns 
Thread 157 is finished, elapsed time = 1898ns 
Thread 158 is finished, elapsed time = 1894ns 
Thread 159 is finished, elapsed time = 2073ns 
Thread 160 is finished, elapsed time = 5726ns 
Thread 161 is finished, elapsed time = 1789ns 
Thread 162 is finished, elapsed time = 2553ns 
Thread 163 is finished, elapsed time = 2027ns 
Thread 164 is finished, elapsed time = 5201ns 
Thread 165 is finished, elapsed time = 1871ns 
Thread 166 is finished, elapsed time = 1891ns 
Thread 167 is finished, elapsed time = 1875ns 
Thread 168 is finished, elapsed time = 4897ns 
Thread 169 is finished, elapsed time = 1976ns 
Thread 170 is finished, elapsed time = 1829ns 
Thread 171 is finished, elapsed time = 2031ns 
Thread 172 is finished, elapsed time = 5120ns 
Thread 173 is finished, elapsed time = 2015ns 
Thread 174 is finished, elapsed time = 1849ns 
Thread 175 is finished, elapsed time = 1943ns 
Thread 176 is finished, elapsed time = 4715ns 
Thread 177 is finished, elapsed time = 1842ns 
Thread 178 is finished, elapsed time = 1881ns 
Thread 179 is finished, elapsed time = 2087ns 
Thread 180 is finished, elapsed time = 4366ns 
Thread 181 is finished, elapsed time = 2137ns 
Thread 182 is finished, elapsed time = 1863ns 
Thread 183 is finished, elapsed time = 1979ns 
Thread 184 is finished, elapsed time = 5533ns 
Thread 185 is finished, elapsed time = 2518ns 
Thread 186 is finished, elapsed time = 1843ns 
Thread 187 is finished, elapsed time = 2309ns 
Thread 188 is finished, elapsed time = 4195ns 
Thread 189 is finished, elapsed time = 1857ns 
Total elapsed time = 37ms 
1
