Number of Dyck words is 16796
Processing Dyck words, elapsed time = 40ms 
Dyck words use ~ 697.099609 KB
Using 190 / 192 threads
Number of palindromic Dyck words is 252
Number of non-palindromic Dyck words is 8272
Thread 66 is finished, elapsed time = 5179ns 
Thread 67 is finished, elapsed time = 5906ns 
Thread 68 is finished, elapsed time = 8717ns 
Thread 69 is finished, elapsed time = 5472ns 
Thread 70 is finished, elapsed time = 7696ns 
Thread 71 is finished, elapsed time = 7801ns 
Thread 72 is finished, elapsed time = 9007ns 
Thread 73 is finished, elapsed time = 7408ns 
Thread 74 is finished, elapsed time = 7605ns 
Thread 75 is finished, elapsed time = 6920ns 
Thread 76 is finished, elapsed time = 10μs 
Thread 77 is finished, elapsed time = 7379ns 
Thread 78 is finished, elapsed time = 7157ns 
Thread 79 is finished, elapsed time = 6453ns 
Thread 80 is finished, elapsed time = 8242ns 
Thread 81 is finished, elapsed time = 6174ns 
Thread 82 is finished, elapsed time = 7453ns 
Thread 83 is finished, elapsed time = 6719ns 
Thread 84 is finished, elapsed time = 7777ns 
Thread 85 is finished, elapsed time = 6082ns 
Thread 86 is finished, elapsed time = 9262ns 
Thread 87 is finished, elapsed time = 8256ns 
Thread 88 is finished, elapsed time = 14μs 
Thread 89 is finished, elapsed time = 10μs 
Thread 90 is finished, elapsed time = 9269ns 
Thread 91 is finished, elapsed time = 9594ns 
Thread 92 is finished, elapsed time = 9006ns 
Thread 93 is finished, elapsed time = 5775ns 
Thread 94 is finished, elapsed time = 8027ns 
Thread 95 is finished, elapsed time = 5810ns 
Thread 96 is finished, elapsed time = 8270ns 
Thread 97 is finished, elapsed time = 4458ns 
Thread 98 is finished, elapsed time = 9301ns 
Thread 99 is finished, elapsed time = 6991ns 
Thread 100 is finished, elapsed time = 7447ns 
Thread 101 is finished, elapsed time = 7592ns 
Thread 102 is finished, elapsed time = 5209ns 
Thread 103 is finished, elapsed time = 5126ns 
Thread 104 is finished, elapsed time = 7014ns 
Thread 105 is finished, elapsed time = 7238ns 
Thread 106 is finished, elapsed time = 5261ns 
Thread 107 is finished, elapsed time = 5002ns 
Thread 108 is finished, elapsed time = 6367ns 
Thread 109 is finished, elapsed time = 5379ns 
Thread 110 is finished, elapsed time = 5008ns 
Thread 111 is finished, elapsed time = 4346ns 
Thread 112 is finished, elapsed time = 5908ns 
Thread 113 is finished, elapsed time = 7168ns 
