Number of Dyck words is 1
Processing Dyck words, elapsed time = 22μs 
Dyck words use ~ 5.000000 bytes
Using 190 / 192 threads
Number of palindromic Dyck words is 1
Number of non-palindromic Dyck words is 0
Thread 0 has load 0
Thread 1 has load 0
Thread 0 is finished, elapsed time = 10μs 
Thread 1 is finished, elapsed time = 4990ns 
Thread 2 is finished, elapsed time = 146μs 
Thread 3 is finished, elapsed time = 70μs 
Thread 4 is finished, elapsed time = 7603ns 
Thread 5 is finished, elapsed time = 1516ns 
Thread 6 is finished, elapsed time = 2849ns 
Thread 7 is finished, elapsed time = 1442ns 
Thread 8 is finished, elapsed time = 6149ns 
Thread 9 is finished, elapsed time = 1512ns 
Thread 10 is finished, elapsed time = 1873ns 
Thread 11 is finished, elapsed time = 1514ns 
Thread 12 is finished, elapsed time = 5359ns 
Thread 13 is finished, elapsed time = 1369ns 
Thread 14 is finished, elapsed time = 1484ns 
Thread 15 is finished, elapsed time = 1664ns 
Thread 16 is finished, elapsed time = 4508ns 
Thread 17 is finished, elapsed time = 1412ns 
Thread 18 is finished, elapsed time = 3295ns 
Thread 19 is finished, elapsed time = 1390ns 
Thread 20 is finished, elapsed time = 4039ns 
Thread 21 is finished, elapsed time = 1416ns 
Thread 22 is finished, elapsed time = 1494ns 
Thread 23 is finished, elapsed time = 1289ns 
Thread 24 is finished, elapsed time = 4049ns 
Thread 25 is finished, elapsed time = 1351ns 
Thread 26 is finished, elapsed time = 1436ns 
Thread 27 is finished, elapsed time = 1268ns 
Thread 28 is finished, elapsed time = 3877ns 
Thread 29 is finished, elapsed time = 1293ns 
Thread 30 is finished, elapsed time = 1447ns 
Thread 31 is finished, elapsed time = 1346ns 
Thread 32 is finished, elapsed time = 3812ns 
Thread 33 is finished, elapsed time = 1338ns 
Thread 34 is finished, elapsed time = 1461ns 
Thread 35 is finished, elapsed time = 1403ns 
Thread 36 is finished, elapsed time = 3754ns 
Thread 37 is finished, elapsed time = 1373ns 
Thread 38 is finished, elapsed time = 1352ns 
Thread 39 is finished, elapsed time = 1330ns 
Thread 40 is finished, elapsed time = 3705ns 
Thread 41 is finished, elapsed time = 1371ns 
Thread 42 is finished, elapsed time = 1817ns 
Thread 43 is finished, elapsed time = 1525ns 
Thread 44 is finished, elapsed time = 3959ns 
Thread 45 is finished, elapsed time = 1490ns 
Thread 46 is finished, elapsed time = 1500ns 
Thread 47 is finished, elapsed time = 1473ns 
Thread 48 is finished, elapsed time = 3231ns 
Thread 49 is finished, elapsed time = 1338ns 
Thread 50 is finished, elapsed time = 1335ns 
Thread 51 is finished, elapsed time = 1756ns 
Thread 52 is finished, elapsed time = 3193ns 
Thread 53 is finished, elapsed time = 1426ns 
Thread 54 is finished, elapsed time = 1371ns 
Thread 55 is finished, elapsed time = 1291ns 
Thread 56 is finished, elapsed time = 3393ns 
Thread 57 is finished, elapsed time = 1382ns 
Thread 58 is finished, elapsed time = 1332ns 
Thread 59 is finished, elapsed time = 1430ns 
Thread 60 is finished, elapsed time = 3793ns 
Thread 61 is finished, elapsed time = 1340ns 
Thread 62 is finished, elapsed time = 1351ns 
Thread 63 is finished, elapsed time = 1380ns 
Thread 64 is finished, elapsed time = 4344ns 
Thread 65 is finished, elapsed time = 1452ns 
Thread 66 is finished, elapsed time = 1455ns 
Thread 67 is finished, elapsed time = 1790ns 
Thread 68 is finished, elapsed time = 4822ns 
Thread 69 is finished, elapsed time = 1904ns 
Thread 70 is finished, elapsed time = 1392ns 
Thread 71 is finished, elapsed time = 1744ns 
Thread 72 is finished, elapsed time = 4655ns 
Thread 73 is finished, elapsed time = 1734ns 
Thread 74 is finished, elapsed time = 1320ns 
Thread 75 is finished, elapsed time = 1750ns 
Thread 76 is finished, elapsed time = 4960ns 
Thread 77 is finished, elapsed time = 1744ns 
Thread 78 is finished, elapsed time = 1485ns 
Thread 79 is finished, elapsed time = 1756ns 
Thread 80 is finished, elapsed time = 4043ns 
Thread 81 is finished, elapsed time = 1590ns 
Thread 82 is finished, elapsed time = 1351ns 
Thread 83 is finished, elapsed time = 1908ns 
Thread 84 is finished, elapsed time = 4084ns 
Thread 85 is finished, elapsed time = 1775ns 
Thread 86 is finished, elapsed time = 1447ns 
Thread 87 is finished, elapsed time = 1698ns 
Thread 88 is finished, elapsed time = 3631ns 
Thread 89 is finished, elapsed time = 1771ns 
Thread 90 is finished, elapsed time = 1428ns 
Thread 91 is finished, elapsed time = 1978ns 
Thread 92 is finished, elapsed time = 3804ns 
Thread 93 is finished, elapsed time = 1773ns 
Thread 94 is finished, elapsed time = 1367ns 
Thread 95 is finished, elapsed time = 1804ns 
Thread 96 is finished, elapsed time = 3945ns 
Thread 97 is finished, elapsed time = 1588ns 
Thread 98 is finished, elapsed time = 1443ns 
Thread 99 is finished, elapsed time = 1858ns 
Thread 100 is finished, elapsed time = 3879ns 
Thread 101 is finished, elapsed time = 1776ns 
Thread 102 is finished, elapsed time = 1521ns 
Thread 103 is finished, elapsed time = 2019ns 
Thread 104 is finished, elapsed time = 5781ns 
Thread 105 is finished, elapsed time = 1996ns 
Thread 106 is finished, elapsed time = 1397ns 
Thread 107 is finished, elapsed time = 1850ns 
Thread 108 is finished, elapsed time = 4959ns 
Thread 109 is finished, elapsed time = 1662ns 
Thread 110 is finished, elapsed time = 1389ns 
Thread 111 is finished, elapsed time = 1760ns 
Thread 112 is finished, elapsed time = 3844ns 
Thread 113 is finished, elapsed time = 1709ns 
Thread 114 is finished, elapsed time = 1416ns 
Thread 115 is finished, elapsed time = 1772ns 
Thread 116 is finished, elapsed time = 3705ns 
Thread 117 is finished, elapsed time = 1740ns 
Thread 118 is finished, elapsed time = 1390ns 
Thread 119 is finished, elapsed time = 1707ns 
Thread 120 is finished, elapsed time = 3733ns 
Thread 121 is finished, elapsed time = 1787ns 
Thread 122 is finished, elapsed time = 1420ns 
Thread 123 is finished, elapsed time = 1717ns 
Thread 124 is finished, elapsed time = 3939ns 
Thread 125 is finished, elapsed time = 1705ns 
Thread 126 is finished, elapsed time = 1397ns 
Thread 127 is finished, elapsed time = 1834ns 
Thread 128 is finished, elapsed time = 3533ns 
Thread 129 is finished, elapsed time = 1742ns 
Thread 130 is finished, elapsed time = 1424ns 
Thread 131 is finished, elapsed time = 1754ns 
Thread 132 is finished, elapsed time = 4629ns 
Thread 133 is finished, elapsed time = 1910ns 
Thread 134 is finished, elapsed time = 1383ns 
Thread 135 is finished, elapsed time = 1723ns 
Thread 136 is finished, elapsed time = 5919ns 
Thread 137 is finished, elapsed time = 1869ns 
Thread 138 is finished, elapsed time = 1917ns 
Thread 139 is finished, elapsed time = 1836ns 
Thread 140 is finished, elapsed time = 5969ns 
Thread 141 is finished, elapsed time = 1842ns 
Thread 142 is finished, elapsed time = 1327ns 
Thread 143 is finished, elapsed time = 1680ns 
Thread 144 is finished, elapsed time = 4896ns 
Thread 145 is finished, elapsed time = 1768ns 
Thread 146 is finished, elapsed time = 1693ns 
Thread 147 is finished, elapsed time = 1729ns 
Thread 148 is finished, elapsed time = 4051ns 
Thread 149 is finished, elapsed time = 2166ns 
Thread 150 is finished, elapsed time = 1485ns 
Thread 151 is finished, elapsed time = 1660ns 
Thread 152 is finished, elapsed time = 3895ns 
Thread 153 is finished, elapsed time = 1822ns 
Thread 154 is finished, elapsed time = 1436ns 
Thread 155 is finished, elapsed time = 1745ns 
Thread 156 is finished, elapsed time = 6258ns 
Thread 157 is finished, elapsed time = 1785ns 
Thread 158 is finished, elapsed time = 1674ns 
Thread 159 is finished, elapsed time = 1918ns 
Thread 160 is finished, elapsed time = 5588ns 
Thread 161 is finished, elapsed time = 1867ns 
Thread 162 is finished, elapsed time = 1511ns 
Thread 163 is finished, elapsed time = 1846ns 
Thread 164 is finished, elapsed time = 5263ns 
Thread 165 is finished, elapsed time = 1730ns 
Thread 166 is finished, elapsed time = 1472ns 
Thread 167 is finished, elapsed time = 1737ns 
Thread 168 is finished, elapsed time = 3799ns 
Thread 169 is finished, elapsed time = 1752ns 
Thread 170 is finished, elapsed time = 1493ns 
Thread 171 is finished, elapsed time = 1806ns 
Thread 172 is finished, elapsed time = 5483ns 
Thread 173 is finished, elapsed time = 1842ns 
Thread 174 is finished, elapsed time = 1660ns 
Thread 175 is finished, elapsed time = 1689ns 
Thread 176 is finished, elapsed time = 4397ns 
Thread 177 is finished, elapsed time = 1701ns 
