Number of Dyck words is 742900
Processing Dyck words, elapsed time = 481ms 
Dyck words use ~ 40.100231 MB
Using 190 / 192 threads
Thread 188 is finished, elapsed time = 6m 17s
Thread 157 is finished, elapsed time = 6m 24s
Thread 124 is finished, elapsed time = 6m 43s
Thread 50 is finished, elapsed time = 6m 58s
Thread 108 is finished, elapsed time = 7m 10s
Thread 167 is finished, elapsed time = 7m 16s
Thread 118 is finished, elapsed time = 7m 19s
Thread 98 is finished, elapsed time = 7m 23s
Thread 151 is finished, elapsed time = 7m 27s
Thread 140 is finished, elapsed time = 7m 28s
Thread 101 is finished, elapsed time = 7m 29s
Thread 106 is finished, elapsed time = 7m 30s
Thread 148 is finished, elapsed time = 7m 31s
Thread 177 is finished, elapsed time = 7m 32s
Thread 161 is finished, elapsed time = 7m 35s
Thread 102 is finished, elapsed time = 7m 35s
Thread 172 is finished, elapsed time = 7m 36s
Thread 107 is finished, elapsed time = 7m 36s
Thread 99 is finished, elapsed time = 7m 38s
Thread 165 is finished, elapsed time = 7m 39s
Thread 85 is finished, elapsed time = 7m 39s
Thread 13 is finished, elapsed time = 7m 41s
Thread 7 is finished, elapsed time = 7m 41s
Thread 183 is finished, elapsed time = 7m 41s
Thread 41 is finished, elapsed time = 7m 44s
Thread 117 is finished, elapsed time = 7m 44s
Thread 125 is finished, elapsed time = 7m 44s
Thread 130 is finished, elapsed time = 7m 44s
Thread 65 is finished, elapsed time = 7m 45s
Thread 181 is finished, elapsed time = 7m 46s
Thread 135 is finished, elapsed time = 7m 46s
Thread 166 is finished, elapsed time = 7m 46s
Thread 129 is finished, elapsed time = 7m 47s
Thread 116 is finished, elapsed time = 7m 50s
Thread 132 is finished, elapsed time = 7m 50s
Thread 97 is finished, elapsed time = 7m 50s
Thread 84 is finished, elapsed time = 7m 51s
Thread 52 is finished, elapsed time = 7m 52s
Thread 146 is finished, elapsed time = 7m 53s
Thread 152 is finished, elapsed time = 7m 54s
Thread 30 is finished, elapsed time = 7m 55s
Thread 24 is finished, elapsed time = 7m 55s
Thread 169 is finished, elapsed time = 7m 55s
Thread 53 is finished, elapsed time = 7m 56s
Thread 178 is finished, elapsed time = 7m 56s
Thread 90 is finished, elapsed time = 7m 56s
Thread 156 is finished, elapsed time = 7m 56s
Thread 131 is finished, elapsed time = 7m 56s
Thread 82 is finished, elapsed time = 7m 56s
Thread 109 is finished, elapsed time = 7m 57s
Thread 154 is finished, elapsed time = 7m 57s
Thread 145 is finished, elapsed time = 7m 58s
Thread 47 is finished, elapsed time = 7m 58s
Thread 31 is finished, elapsed time = 7m 59s
Thread 95 is finished, elapsed time = 7m 59s
Thread 171 is finished, elapsed time = 8m 
Thread 133 is finished, elapsed time = 8m 1s
Thread 187 is finished, elapsed time = 8m 1s
Thread 66 is finished, elapsed time = 8m 1s
Thread 91 is finished, elapsed time = 8m 1s
Thread 5 is finished, elapsed time = 8m 2s
Thread 2 is finished, elapsed time = 8m 3s
Thread 46 is finished, elapsed time = 8m 4s
Thread 62 is finished, elapsed time = 8m 4s
Thread 176 is finished, elapsed time = 8m 5s
Thread 45 is finished, elapsed time = 8m 5s
Thread 144 is finished, elapsed time = 8m 5s
Thread 63 is finished, elapsed time = 8m 6s
Thread 100 is finished, elapsed time = 8m 6s
Thread 43 is finished, elapsed time = 8m 8s
Thread 104 is finished, elapsed time = 8m 8s
Thread 141 is finished, elapsed time = 8m 9s
Thread 173 is finished, elapsed time = 8m 9s
Thread 11 is finished, elapsed time = 8m 10s
Thread 80 is finished, elapsed time = 8m 10s
Thread 184 is finished, elapsed time = 8m 10s
Thread 9 is finished, elapsed time = 8m 11s
Thread 6 is finished, elapsed time = 8m 11s
Thread 120 is finished, elapsed time = 8m 11s
Thread 110 is finished, elapsed time = 8m 11s
Thread 189 is finished, elapsed time = 8m 12s
Thread 67 is finished, elapsed time = 8m 12s
Thread 27 is finished, elapsed time = 8m 13s
Thread 122 is finished, elapsed time = 8m 13s
Thread 83 is finished, elapsed time = 8m 14s
Thread 60 is finished, elapsed time = 8m 14s
Thread 86 is finished, elapsed time = 8m 14s
Thread 142 is finished, elapsed time = 8m 15s
Thread 123 is finished, elapsed time = 8m 15s
Thread 103 is finished, elapsed time = 8m 15s
Thread 75 is finished, elapsed time = 8m 16s
Thread 119 is finished, elapsed time = 8m 16s
Thread 175 is finished, elapsed time = 8m 16s
Thread 160 is finished, elapsed time = 8m 16s
Thread 22 is finished, elapsed time = 8m 16s
Thread 128 is finished, elapsed time = 8m 17s
Thread 16 is finished, elapsed time = 8m 17s
Thread 155 is finished, elapsed time = 8m 17s
Thread 79 is finished, elapsed time = 8m 17s
Thread 115 is finished, elapsed time = 8m 17s
Thread 158 is finished, elapsed time = 8m 17s
Thread 61 is finished, elapsed time = 8m 18s
Thread 74 is finished, elapsed time = 8m 18s
Thread 147 is finished, elapsed time = 8m 18s
Thread 37 is finished, elapsed time = 8m 19s
Thread 48 is finished, elapsed time = 8m 19s
Thread 78 is finished, elapsed time = 8m 19s
Thread 139 is finished, elapsed time = 8m 20s
Thread 179 is finished, elapsed time = 8m 20s
Thread 93 is finished, elapsed time = 8m 20s
Thread 112 is finished, elapsed time = 8m 21s
Thread 114 is finished, elapsed time = 8m 21s
Thread 149 is finished, elapsed time = 8m 21s
Thread 87 is finished, elapsed time = 8m 22s
Thread 76 is finished, elapsed time = 8m 22s
Thread 44 is finished, elapsed time = 8m 22s
Thread 77 is finished, elapsed time = 8m 23s
Thread 35 is finished, elapsed time = 8m 23s
Thread 14 is finished, elapsed time = 8m 23s
Thread 3 is finished, elapsed time = 8m 23s
Thread 23 is finished, elapsed time = 8m 23s
Thread 153 is finished, elapsed time = 8m 24s
Thread 113 is finished, elapsed time = 8m 25s
Thread 1 is finished, elapsed time = 8m 25s
Thread 54 is finished, elapsed time = 8m 25s
Thread 111 is finished, elapsed time = 8m 25s
Thread 185 is finished, elapsed time = 8m 25s
Thread 170 is finished, elapsed time = 8m 26s
Thread 134 is finished, elapsed time = 8m 26s
Thread 143 is finished, elapsed time = 8m 26s
Thread 168 is finished, elapsed time = 8m 26s
Thread 15 is finished, elapsed time = 8m 27s
Thread 71 is finished, elapsed time = 8m 27s
Thread 58 is finished, elapsed time = 8m 28s
Thread 105 is finished, elapsed time = 8m 28s
Thread 55 is finished, elapsed time = 8m 29s
Thread 159 is finished, elapsed time = 8m 29s
Thread 33 is finished, elapsed time = 8m 29s
Thread 164 is finished, elapsed time = 8m 29s
Thread 186 is finished, elapsed time = 8m 29s
Thread 127 is finished, elapsed time = 8m 29s
Thread 137 is finished, elapsed time = 8m 30s
Thread 4 is finished, elapsed time = 8m 30s
Thread 121 is finished, elapsed time = 8m 31s
Thread 182 is finished, elapsed time = 8m 30s
Thread 8 is finished, elapsed time = 8m 31s
Thread 73 is finished, elapsed time = 8m 31s
Thread 20 is finished, elapsed time = 8m 31s
Thread 59 is finished, elapsed time = 8m 31s
Thread 39 is finished, elapsed time = 8m 32s
Thread 163 is finished, elapsed time = 8m 32s
Thread 68 is finished, elapsed time = 8m 32s
Thread 180 is finished, elapsed time = 8m 32s
Thread 174 is finished, elapsed time = 8m 32s
Thread 94 is finished, elapsed time = 8m 32s
Thread 38 is finished, elapsed time = 8m 32s
Thread 64 is finished, elapsed time = 8m 33s
Thread 89 is finished, elapsed time = 8m 33s
Thread 12 is finished, elapsed time = 8m 34s
Thread 32 is finished, elapsed time = 8m 34s
Thread 126 is finished, elapsed time = 8m 34s
Thread 96 is finished, elapsed time = 8m 34s
Thread 81 is finished, elapsed time = 8m 34s
Thread 57 is finished, elapsed time = 8m 35s
Thread 17 is finished, elapsed time = 8m 35s
Thread 42 is finished, elapsed time = 8m 35s
Thread 51 is finished, elapsed time = 8m 35s
