Number of Dyck words is 208012
Processing Dyck words, elapsed time = 143ms 
Dyck words use ~ 10.428894 MB
Using 190 / 192 threads
Thread 99 is finished, elapsed time = 9959ms 
Thread 29 is finished, elapsed time = 15650ms 
Thread 189 is finished, elapsed time = 17546ms 
Thread 170 is finished, elapsed time = 17685ms 
Thread 96 is finished, elapsed time = 17804ms 
Thread 149 is finished, elapsed time = 18812ms 
Thread 119 is finished, elapsed time = 19021ms 
Thread 105 is finished, elapsed time = 19095ms 
Thread 32 is finished, elapsed time = 19143ms 
Thread 124 is finished, elapsed time = 19176ms 
Thread 126 is finished, elapsed time = 19381ms 
Thread 161 is finished, elapsed time = 19456ms 
Thread 140 is finished, elapsed time = 19527ms 
Thread 80 is finished, elapsed time = 19714ms 
Thread 78 is finished, elapsed time = 19746ms 
Thread 160 is finished, elapsed time = 19668ms 
Thread 58 is finished, elapsed time = 19776ms 
Thread 177 is finished, elapsed time = 19768ms 
Thread 9 is finished, elapsed time = 20017ms 
Thread 55 is finished, elapsed time = 20073ms 
Thread 57 is finished, elapsed time = 20207ms 
Thread 60 is finished, elapsed time = 20284ms 
Thread 56 is finished, elapsed time = 20317ms 
Thread 139 is finished, elapsed time = 20431ms 
Thread 125 is finished, elapsed time = 20466ms 
Thread 138 is finished, elapsed time = 20469ms 
Thread 93 is finished, elapsed time = 20627ms 
Thread 82 is finished, elapsed time = 20695ms 
Thread 28 is finished, elapsed time = 20850ms 
Thread 5 is finished, elapsed time = 20910ms 
Thread 97 is finished, elapsed time = 21190ms 
Thread 178 is finished, elapsed time = 21372ms 
Thread 76 is finished, elapsed time = 21527ms 
Thread 8 is finished, elapsed time = 21646ms 
Thread 66 is finished, elapsed time = 21619ms 
Thread 64 is finished, elapsed time = 21635ms 
Thread 49 is finished, elapsed time = 21680ms 
Thread 31 is finished, elapsed time = 21712ms 
Thread 62 is finished, elapsed time = 21699ms 
Thread 54 is finished, elapsed time = 21772ms 
Thread 63 is finished, elapsed time = 21862ms 
Thread 6 is finished, elapsed time = 21949ms 
Thread 61 is finished, elapsed time = 21970ms 
Thread 71 is finished, elapsed time = 22015ms 
Thread 68 is finished, elapsed time = 22120ms 
Thread 158 is finished, elapsed time = 22053ms 
Thread 121 is finished, elapsed time = 22331ms 
Thread 172 is finished, elapsed time = 22298ms 
Thread 175 is finished, elapsed time = 22452ms 
Thread 90 is finished, elapsed time = 22589ms 
Thread 143 is finished, elapsed time = 22637ms 
Thread 182 is finished, elapsed time = 22664ms 
Thread 136 is finished, elapsed time = 23356ms 
Thread 167 is finished, elapsed time = 23351ms 
Thread 127 is finished, elapsed time = 23477ms 
Thread 106 is finished, elapsed time = 23508ms 
Thread 115 is finished, elapsed time = 23526ms 
Thread 94 is finished, elapsed time = 23573ms 
Thread 110 is finished, elapsed time = 23645ms 
Thread 43 is finished, elapsed time = 23687ms 
Thread 164 is finished, elapsed time = 23642ms 
Thread 153 is finished, elapsed time = 23679ms 
Thread 176 is finished, elapsed time = 23670ms 
Thread 25 is finished, elapsed time = 23942ms 
Thread 135 is finished, elapsed time = 23884ms 
Thread 120 is finished, elapsed time = 23972ms 
Thread 67 is finished, elapsed time = 24090ms 
Thread 53 is finished, elapsed time = 24125ms 
Thread 122 is finished, elapsed time = 24108ms 
Thread 188 is finished, elapsed time = 24045ms 
Thread 95 is finished, elapsed time = 24223ms 
Thread 154 is finished, elapsed time = 24215ms 
Thread 77 is finished, elapsed time = 24310ms 
Thread 81 is finished, elapsed time = 24355ms 
Thread 103 is finished, elapsed time = 24413ms 
Thread 36 is finished, elapsed time = 24527ms 
Thread 3 is finished, elapsed time = 24539ms 
Thread 2 is finished, elapsed time = 24566ms 
Thread 165 is finished, elapsed time = 24456ms 
Thread 19 is finished, elapsed time = 24693ms 
Thread 156 is finished, elapsed time = 24626ms 
Thread 131 is finished, elapsed time = 24713ms 
Thread 166 is finished, elapsed time = 24768ms 
Thread 174 is finished, elapsed time = 24801ms 
Thread 26 is finished, elapsed time = 24959ms 
Thread 128 is finished, elapsed time = 24925ms 
Thread 86 is finished, elapsed time = 24977ms 
Thread 173 is finished, elapsed time = 24885ms 
Thread 114 is finished, elapsed time = 24980ms 
Thread 109 is finished, elapsed time = 25072ms 
Thread 145 is finished, elapsed time = 25050ms 
Thread 59 is finished, elapsed time = 25132ms 
Thread 38 is finished, elapsed time = 25249ms 
Thread 65 is finished, elapsed time = 25316ms 
Thread 130 is finished, elapsed time = 25302ms 
Thread 15 is finished, elapsed time = 25395ms 
Thread 181 is finished, elapsed time = 25289ms 
Thread 35 is finished, elapsed time = 25479ms 
Thread 157 is finished, elapsed time = 25459ms 
Thread 98 is finished, elapsed time = 25583ms 
Thread 185 is finished, elapsed time = 25474ms 
Thread 134 is finished, elapsed time = 25616ms 
Thread 168 is finished, elapsed time = 25563ms 
Thread 184 is finished, elapsed time = 25600ms 
Thread 183 is finished, elapsed time = 25666ms 
Thread 186 is finished, elapsed time = 25756ms 
Thread 12 is finished, elapsed time = 26030ms 
Thread 111 is finished, elapsed time = 25998ms 
Thread 85 is finished, elapsed time = 26016ms 
Thread 1 is finished, elapsed time = 26062ms 
Thread 162 is finished, elapsed time = 26050ms 
Thread 112 is finished, elapsed time = 26190ms 
Thread 116 is finished, elapsed time = 26308ms 
Thread 151 is finished, elapsed time = 26279ms 
Thread 24 is finished, elapsed time = 26405ms 
Thread 146 is finished, elapsed time = 26362ms 
Thread 100 is finished, elapsed time = 26438ms 
Thread 179 is finished, elapsed time = 26318ms 
Thread 102 is finished, elapsed time = 26448ms 
Thread 84 is finished, elapsed time = 26476ms 
