Number of Dyck words is 429
Processing Dyck words, elapsed time = 355μs 
Dyck words use ~ 13.545898 KB
Using 190 / 192 threads
Thread 0 is finished, elapsed time = 84μs 
Thread 1 is finished, elapsed time = 38μs 
Thread 2 is finished, elapsed time = 36μs 
Thread 3 is finished, elapsed time = 32μs 
Thread 4 is finished, elapsed time = 30μs 
Thread 5 is finished, elapsed time = 34μs 
Thread 6 is finished, elapsed time = 30μs 
Thread 7 is finished, elapsed time = 32μs 
Thread 8 is finished, elapsed time = 32μs 
Thread 9 is finished, elapsed time = 32μs 
Thread 10 is finished, elapsed time = 27μs 
Thread 11 is finished, elapsed time = 23μs 
Thread 12 is finished, elapsed time = 32μs 
Thread 13 is finished, elapsed time = 26μs 
Thread 14 is finished, elapsed time = 32μs 
Thread 15 is finished, elapsed time = 30μs 
Thread 16 is finished, elapsed time = 76μs 
Thread 17 is finished, elapsed time = 26μs 
Thread 18 is finished, elapsed time = 32μs 
Thread 19 is finished, elapsed time = 26μs 
Thread 20 is finished, elapsed time = 30μs 
Thread 21 is finished, elapsed time = 29μs 
Thread 22 is finished, elapsed time = 26μs 
Thread 23 is finished, elapsed time = 27μs 
Thread 24 is finished, elapsed time = 27μs 
Thread 25 is finished, elapsed time = 21μs 
Thread 26 is finished, elapsed time = 27μs 
Thread 27 is finished, elapsed time = 24μs 
Thread 28 is finished, elapsed time = 27μs 
Thread 29 is finished, elapsed time = 22μs 
Thread 30 is finished, elapsed time = 24μs 
Thread 31 is finished, elapsed time = 20μs 
Thread 32 is finished, elapsed time = 20μs 
Thread 33 is finished, elapsed time = 23μs 
Thread 34 is finished, elapsed time = 21μs 
Thread 35 is finished, elapsed time = 26μs 
Thread 36 is finished, elapsed time = 24μs 
Thread 37 is finished, elapsed time = 24μs 
Thread 38 is finished, elapsed time = 21μs 
Thread 39 is finished, elapsed time = 24μs 
Thread 40 is finished, elapsed time = 23μs 
Thread 41 is finished, elapsed time = 22μs 
Thread 42 is finished, elapsed time = 26μs 
Thread 43 is finished, elapsed time = 24μs 
Thread 44 is finished, elapsed time = 27μs 
Thread 45 is finished, elapsed time = 22μs 
Thread 46 is finished, elapsed time = 17μs 
Thread 47 is finished, elapsed time = 22μs 
Thread 48 is finished, elapsed time = 23μs 
Thread 49 is finished, elapsed time = 24μs 
Thread 50 is finished, elapsed time = 21μs 
Thread 51 is finished, elapsed time = 22μs 
Thread 52 is finished, elapsed time = 20μs 
Thread 53 is finished, elapsed time = 23μs 
Thread 54 is finished, elapsed time = 19μs 
Thread 55 is finished, elapsed time = 21μs 
Thread 56 is finished, elapsed time = 25μs 
Thread 57 is finished, elapsed time = 21μs 
Thread 58 is finished, elapsed time = 22μs 
Thread 59 is finished, elapsed time = 18μs 
Thread 60 is finished, elapsed time = 24μs 
Thread 61 is finished, elapsed time = 18μs 
Thread 62 is finished, elapsed time = 18μs 
Thread 63 is finished, elapsed time = 22μs 
Thread 64 is finished, elapsed time = 21μs 
Thread 65 is finished, elapsed time = 19μs 
Thread 66 is finished, elapsed time = 20μs 
Thread 67 is finished, elapsed time = 19μs 
Thread 68 is finished, elapsed time = 23μs 
Thread 69 is finished, elapsed time = 18μs 
Thread 70 is finished, elapsed time = 15μs 
Thread 71 is finished, elapsed time = 19μs 
Thread 72 is finished, elapsed time = 21μs 
Thread 73 is finished, elapsed time = 18μs 
Thread 74 is finished, elapsed time = 16μs 
Thread 75 is finished, elapsed time = 17μs 
Thread 76 is finished, elapsed time = 18μs 
Thread 77 is finished, elapsed time = 11μs 
Thread 78 is finished, elapsed time = 16μs 
Thread 79 is finished, elapsed time = 14μs 
Thread 80 is finished, elapsed time = 21μs 
Thread 81 is finished, elapsed time = 15μs 
Thread 82 is finished, elapsed time = 17μs 
Thread 83 is finished, elapsed time = 14μs 
Thread 84 is finished, elapsed time = 20μs 
Thread 85 is finished, elapsed time = 14μs 
Thread 86 is finished, elapsed time = 15μs 
Thread 87 is finished, elapsed time = 15μs 
Thread 88 is finished, elapsed time = 17μs 
Thread 89 is finished, elapsed time = 15μs 
Thread 90 is finished, elapsed time = 13μs 
Thread 91 is finished, elapsed time = 10μs 
Thread 92 is finished, elapsed time = 17μs 
Thread 93 is finished, elapsed time = 34μs 
Thread 94 is finished, elapsed time = 20μs 
Thread 95 is finished, elapsed time = 17μs 
Thread 96 is finished, elapsed time = 20μs 
Thread 97 is finished, elapsed time = 24μs 
Thread 98 is finished, elapsed time = 26μs 
Thread 99 is finished, elapsed time = 19μs 
Thread 100 is finished, elapsed time = 27μs 
Thread 101 is finished, elapsed time = 25μs 
Thread 102 is finished, elapsed time = 25μs 
Thread 103 is finished, elapsed time = 21μs 
Thread 104 is finished, elapsed time = 19μs 
Thread 105 is finished, elapsed time = 16μs 
Thread 106 is finished, elapsed time = 20μs 
Thread 107 is finished, elapsed time = 23μs 
Thread 108 is finished, elapsed time = 19μs 
Thread 109 is finished, elapsed time = 20μs 
Thread 110 is finished, elapsed time = 23μs 
Thread 111 is finished, elapsed time = 21μs 
Thread 112 is finished, elapsed time = 24μs 
Thread 113 is finished, elapsed time = 16μs 
Thread 114 is finished, elapsed time = 20μs 
Thread 115 is finished, elapsed time = 20μs 
Thread 116 is finished, elapsed time = 23μs 
Thread 117 is finished, elapsed time = 20μs 
Thread 118 is finished, elapsed time = 22μs 
Thread 119 is finished, elapsed time = 17μs 
Thread 120 is finished, elapsed time = 47μs 
Thread 121 is finished, elapsed time = 16μs 
Thread 122 is finished, elapsed time = 17μs 
Thread 123 is finished, elapsed time = 16μs 
Thread 124 is finished, elapsed time = 15μs 
Thread 125 is finished, elapsed time = 17μs 
Thread 126 is finished, elapsed time = 20μs 
Thread 127 is finished, elapsed time = 16μs 
Thread 128 is finished, elapsed time = 21μs 
Thread 129 is finished, elapsed time = 19μs 
Thread 130 is finished, elapsed time = 15μs 
Thread 131 is finished, elapsed time = 13μs 
Thread 132 is finished, elapsed time = 21μs 
Thread 133 is finished, elapsed time = 15μs 
Thread 134 is finished, elapsed time = 17μs 
Thread 135 is finished, elapsed time = 18μs 
Thread 136 is finished, elapsed time = 17μs 
Thread 137 is finished, elapsed time = 18μs 
Thread 138 is finished, elapsed time = 20μs 
Thread 139 is finished, elapsed time = 13μs 
Thread 140 is finished, elapsed time = 18μs 
Thread 141 is finished, elapsed time = 15μs 
Thread 142 is finished, elapsed time = 14μs 
Thread 143 is finished, elapsed time = 16μs 
Thread 144 is finished, elapsed time = 13μs 
Thread 145 is finished, elapsed time = 2039ns 
Thread 146 is finished, elapsed time = 1886ns 
Thread 147 is finished, elapsed time = 2012ns 
Thread 148 is finished, elapsed time = 6024ns 
Thread 149 is finished, elapsed time = 2612ns 
Thread 150 is finished, elapsed time = 1838ns 
Thread 151 is finished, elapsed time = 2557ns 
Thread 152 is finished, elapsed time = 7342ns 
Thread 153 is finished, elapsed time = 1829ns 
Thread 155 is finished, elapsed time = 1911ns 
Thread 154 is finished, elapsed time = 88μs 
Thread 156 is finished, elapsed time = 11μs 
Thread 157 is finished, elapsed time = 2203ns 
Thread 158 is finished, elapsed time = 2123ns 
Thread 159 is finished, elapsed time = 2066ns 
Thread 160 is finished, elapsed time = 5443ns 
Thread 161 is finished, elapsed time = 1990ns 
Thread 162 is finished, elapsed time = 1865ns 
Thread 163 is finished, elapsed time = 1930ns 
Thread 164 is finished, elapsed time = 4672ns 
Thread 165 is finished, elapsed time = 2160ns 
Thread 166 is finished, elapsed time = 1876ns 
Thread 167 is finished, elapsed time = 2103ns 
Thread 168 is finished, elapsed time = 4321ns 
Thread 169 is finished, elapsed time = 1924ns 
Thread 170 is finished, elapsed time = 1873ns 
Thread 171 is finished, elapsed time = 2068ns 
Thread 172 is finished, elapsed time = 4469ns 
Thread 173 is finished, elapsed time = 2178ns 
Thread 174 is finished, elapsed time = 1873ns 
Thread 175 is finished, elapsed time = 1973ns 
Thread 176 is finished, elapsed time = 4400ns 
Thread 177 is finished, elapsed time = 1961ns 
Thread 178 is finished, elapsed time = 2029ns 
Thread 179 is finished, elapsed time = 2428ns 
Thread 180 is finished, elapsed time = 6881ns 
Thread 181 is finished, elapsed time = 2020ns 
Thread 182 is finished, elapsed time = 1800ns 
Thread 183 is finished, elapsed time = 1934ns 
Thread 184 is finished, elapsed time = 4174ns 
Thread 185 is finished, elapsed time = 1807ns 
Thread 186 is finished, elapsed time = 1945ns 
Thread 187 is finished, elapsed time = 1942ns 
