Number of Dyck words is 42
Processing Dyck words, elapsed time = 35μs 
Dyck words use ~ 1014.000000 bytes
Using 190 / 192 threads
Thread 0 is finished, elapsed time = 44μs 
Thread 1 is finished, elapsed time = 11μs 
Thread 2 is finished, elapsed time = 5057ns 
Thread 3 is finished, elapsed time = 3209ns 
Thread 4 is finished, elapsed time = 7780ns 
Thread 5 is finished, elapsed time = 4191ns 
Thread 6 is finished, elapsed time = 3561ns 
Thread 7 is finished, elapsed time = 3652ns 
Thread 8 is finished, elapsed time = 5471ns 
Thread 9 is finished, elapsed time = 3281ns 
Thread 10 is finished, elapsed time = 3301ns 
Thread 11 is finished, elapsed time = 3064ns 
Thread 12 is finished, elapsed time = 5746ns 
Thread 13 is finished, elapsed time = 2965ns 
Thread 14 is finished, elapsed time = 3838ns 
Thread 15 is finished, elapsed time = 2785ns 
Thread 16 is finished, elapsed time = 5402ns 
Thread 17 is finished, elapsed time = 2456ns 
Thread 18 is finished, elapsed time = 2406ns 
Thread 19 is finished, elapsed time = 2893ns 
Thread 20 is finished, elapsed time = 4877ns 
Thread 21 is finished, elapsed time = 2838ns 
Thread 22 is finished, elapsed time = 2675ns 
Thread 23 is finished, elapsed time = 2908ns 
Thread 24 is finished, elapsed time = 5355ns 
Thread 25 is finished, elapsed time = 2847ns 
Thread 26 is finished, elapsed time = 2679ns 
Thread 27 is finished, elapsed time = 2766ns 
Thread 28 is finished, elapsed time = 4969ns 
Thread 29 is finished, elapsed time = 3024ns 
Thread 30 is finished, elapsed time = 2261ns 
Thread 31 is finished, elapsed time = 12μs 
Thread 32 is finished, elapsed time = 4781ns 
Thread 33 is finished, elapsed time = 2318ns 
Thread 34 is finished, elapsed time = 2496ns 
Thread 35 is finished, elapsed time = 2459ns 
Thread 36 is finished, elapsed time = 5590ns 
Thread 37 is finished, elapsed time = 2247ns 
Thread 38 is finished, elapsed time = 2119ns 
Thread 39 is finished, elapsed time = 2365ns 
Thread 40 is finished, elapsed time = 4512ns 
Thread 41 is finished, elapsed time = 1916ns 
Thread 42 is finished, elapsed time = 1539ns 
Thread 43 is finished, elapsed time = 1861ns 
Thread 44 is finished, elapsed time = 3848ns 
Thread 45 is finished, elapsed time = 2291ns 
Thread 46 is finished, elapsed time = 1574ns 
Thread 47 is finished, elapsed time = 2365ns 
Thread 48 is finished, elapsed time = 3904ns 
Thread 49 is finished, elapsed time = 2527ns 
Thread 50 is finished, elapsed time = 1529ns 
Thread 51 is finished, elapsed time = 1500ns 
Thread 52 is finished, elapsed time = 4306ns 
Thread 53 is finished, elapsed time = 1817ns 
Thread 54 is finished, elapsed time = 1627ns 
Thread 55 is finished, elapsed time = 1526ns 
Thread 56 is finished, elapsed time = 5236ns 
Thread 57 is finished, elapsed time = 1526ns 
Thread 58 is finished, elapsed time = 1961ns 
Thread 59 is finished, elapsed time = 2914ns 
Thread 60 is finished, elapsed time = 5453ns 
Thread 61 is finished, elapsed time = 1556ns 
Thread 62 is finished, elapsed time = 1855ns 
Thread 63 is finished, elapsed time = 1583ns 
Thread 64 is finished, elapsed time = 6906ns 
Thread 65 is finished, elapsed time = 1773ns 
Thread 66 is finished, elapsed time = 1990ns 
Thread 67 is finished, elapsed time = 1571ns 
Thread 68 is finished, elapsed time = 4807ns 
Thread 69 is finished, elapsed time = 1510ns 
Thread 70 is finished, elapsed time = 1963ns 
Thread 71 is finished, elapsed time = 1629ns 
Thread 72 is finished, elapsed time = 4122ns 
Thread 73 is finished, elapsed time = 1861ns 
Thread 74 is finished, elapsed time = 1564ns 
Thread 75 is finished, elapsed time = 1905ns 
Thread 76 is finished, elapsed time = 4082ns 
Thread 77 is finished, elapsed time = 1906ns 
Thread 78 is finished, elapsed time = 1576ns 
Thread 79 is finished, elapsed time = 1463ns 
Thread 80 is finished, elapsed time = 6781ns 
Thread 81 is finished, elapsed time = 1522ns 
Thread 82 is finished, elapsed time = 1778ns 
Thread 83 is finished, elapsed time = 1533ns 
Thread 84 is finished, elapsed time = 4371ns 
Thread 85 is finished, elapsed time = 1608ns 
Thread 86 is finished, elapsed time = 1834ns 
Thread 87 is finished, elapsed time = 1528ns 
Thread 88 is finished, elapsed time = 4164ns 
Thread 89 is finished, elapsed time = 1844ns 
Thread 90 is finished, elapsed time = 1897ns 
Thread 91 is finished, elapsed time = 1621ns 
Thread 92 is finished, elapsed time = 4402ns 
