Number of Dyck words is 132
Processing Dyck words, elapsed time = 104μs 
Dyck words use ~ 3.641602 KB
Using 190 / 192 threads
Thread 0 is finished, elapsed time = 51μs 
Thread 1 is finished, elapsed time = 8934ns 
Thread 2 is finished, elapsed time = 8492ns 
Thread 3 is finished, elapsed time = 4889ns 
Thread 4 is finished, elapsed time = 10μs 
Thread 5 is finished, elapsed time = 6035ns 
Thread 6 is finished, elapsed time = 6824ns 
Thread 7 is finished, elapsed time = 5531ns 
Thread 8 is finished, elapsed time = 8401ns 
Thread 9 is finished, elapsed time = 5055ns 
Thread 10 is finished, elapsed time = 7959ns 
Thread 11 is finished, elapsed time = 91μs 
Thread 12 is finished, elapsed time = 76μs 
Thread 13 is finished, elapsed time = 4931ns 
Thread 14 is finished, elapsed time = 6867ns 
Thread 15 is finished, elapsed time = 4826ns 
Thread 16 is finished, elapsed time = 9414ns 
Thread 17 is finished, elapsed time = 3906ns 
Thread 18 is finished, elapsed time = 6152ns 
Thread 19 is finished, elapsed time = 6230ns 
Thread 20 is finished, elapsed time = 12μs 
Thread 21 is finished, elapsed time = 6029ns 
Thread 22 is finished, elapsed time = 3558ns 
Thread 23 is finished, elapsed time = 5318ns 
Thread 24 is finished, elapsed time = 8145ns 
Thread 25 is finished, elapsed time = 5202ns 
Thread 26 is finished, elapsed time = 4571ns 
Thread 27 is finished, elapsed time = 5537ns 
Thread 28 is finished, elapsed time = 7104ns 
Thread 29 is finished, elapsed time = 5768ns 
Thread 30 is finished, elapsed time = 4683ns 
Thread 31 is finished, elapsed time = 4569ns 
Thread 32 is finished, elapsed time = 5544ns 
Thread 33 is finished, elapsed time = 6025ns 
Thread 34 is finished, elapsed time = 4140ns 
Thread 35 is finished, elapsed time = 5119ns 
Thread 36 is finished, elapsed time = 8768ns 
Thread 37 is finished, elapsed time = 6441ns 
Thread 38 is finished, elapsed time = 3388ns 
Thread 39 is finished, elapsed time = 4861ns 
Thread 40 is finished, elapsed time = 8353ns 
Thread 41 is finished, elapsed time = 3912ns 
Thread 42 is finished, elapsed time = 5242ns 
Thread 43 is finished, elapsed time = 3602ns 
Thread 44 is finished, elapsed time = 7627ns 
Thread 45 is finished, elapsed time = 4174ns 
Thread 46 is finished, elapsed time = 4777ns 
Thread 47 is finished, elapsed time = 3965ns 
Thread 48 is finished, elapsed time = 7188ns 
Thread 49 is finished, elapsed time = 3352ns 
Thread 50 is finished, elapsed time = 3665ns 
Thread 51 is finished, elapsed time = 3987ns 
Thread 52 is finished, elapsed time = 6242ns 
Thread 53 is finished, elapsed time = 3845ns 
Thread 54 is finished, elapsed time = 4504ns 
Thread 55 is finished, elapsed time = 3211ns 
Thread 56 is finished, elapsed time = 7049ns 
Thread 57 is finished, elapsed time = 3361ns 
Thread 58 is finished, elapsed time = 4252ns 
Thread 59 is finished, elapsed time = 3553ns 
Thread 60 is finished, elapsed time = 6793ns 
Thread 61 is finished, elapsed time = 3018ns 
Thread 62 is finished, elapsed time = 3922ns 
Thread 63 is finished, elapsed time = 2758ns 
Thread 64 is finished, elapsed time = 6824ns 
Thread 65 is finished, elapsed time = 3535ns 
Thread 66 is finished, elapsed time = 4342ns 
Thread 67 is finished, elapsed time = 3291ns 
Thread 68 is finished, elapsed time = 7986ns 
Thread 69 is finished, elapsed time = 4807ns 
Thread 70 is finished, elapsed time = 3076ns 
Thread 71 is finished, elapsed time = 3494ns 
Thread 72 is finished, elapsed time = 4895ns 
Thread 73 is finished, elapsed time = 4218ns 
Thread 74 is finished, elapsed time = 3315ns 
Thread 75 is finished, elapsed time = 3846ns 
Thread 76 is finished, elapsed time = 5310ns 
Thread 77 is finished, elapsed time = 4574ns 
Thread 78 is finished, elapsed time = 3414ns 
Thread 79 is finished, elapsed time = 4135ns 
Thread 80 is finished, elapsed time = 5094ns 
Thread 81 is finished, elapsed time = 4420ns 
Thread 82 is finished, elapsed time = 3039ns 
Thread 83 is finished, elapsed time = 4101ns 
Thread 84 is finished, elapsed time = 5029ns 
Thread 85 is finished, elapsed time = 3275ns 
Thread 86 is finished, elapsed time = 3411ns 
Thread 87 is finished, elapsed time = 3881ns 
Thread 88 is finished, elapsed time = 4782ns 
Thread 89 is finished, elapsed time = 4453ns 
Thread 90 is finished, elapsed time = 3326ns 
Thread 91 is finished, elapsed time = 4865ns 
Thread 92 is finished, elapsed time = 6144ns 
Thread 93 is finished, elapsed time = 3570ns 
Thread 94 is finished, elapsed time = 3090ns 
Thread 95 is finished, elapsed time = 3670ns 
Thread 96 is finished, elapsed time = 5463ns 
Thread 97 is finished, elapsed time = 3590ns 
Thread 98 is finished, elapsed time = 4688ns 
Thread 99 is finished, elapsed time = 3844ns 
Thread 100 is finished, elapsed time = 5203ns 
