Number of Dyck words is 4862
Processing Dyck words, elapsed time = 4483μs 
Dyck words use ~ 192.080078 KB
Using 190 / 192 threads
Thread 0 is finished, elapsed time = 2249μs 
Thread 1 is finished, elapsed time = 2305μs 
Thread 2 is finished, elapsed time = 2537μs 
Thread 4 is finished, elapsed time = 2227μs 
Thread 5 is finished, elapsed time = 2213μs 
Thread 6 is finished, elapsed time = 2416μs 
Thread 3 is finished, elapsed time = 3524μs 
Thread 7 is finished, elapsed time = 2257μs 
Thread 8 is finished, elapsed time = 2383μs 
Thread 9 is finished, elapsed time = 2369μs 
Thread 15 is finished, elapsed time = 1549μs 
Thread 10 is finished, elapsed time = 2397μs 
Thread 11 is finished, elapsed time = 2408μs 
Thread 16 is finished, elapsed time = 1752μs 
Thread 13 is finished, elapsed time = 2373μs 
Thread 14 is finished, elapsed time = 2281μs 
Thread 19 is finished, elapsed time = 1779μs 
Thread 17 is finished, elapsed time = 2517μs 
Thread 20 is finished, elapsed time = 2250μs 
Thread 21 is finished, elapsed time = 2366μs 
Thread 25 is finished, elapsed time = 1507μs 
Thread 22 is finished, elapsed time = 2444μs 
Thread 23 is finished, elapsed time = 2428μs 
Thread 12 is finished, elapsed time = 4686μs 
Thread 24 is finished, elapsed time = 2372μs 
Thread 26 is finished, elapsed time = 2239μs 
Thread 18 is finished, elapsed time = 4215μs 
Thread 27 is finished, elapsed time = 2394μs 
Thread 30 is finished, elapsed time = 1878μs 
Thread 32 is finished, elapsed time = 1858μs 
Thread 29 is finished, elapsed time = 2600μs 
Thread 34 is finished, elapsed time = 1643μs 
Thread 28 is finished, elapsed time = 3589μs 
Thread 31 is finished, elapsed time = 3303μs 
Thread 35 is finished, elapsed time = 2493μs 
Thread 40 is finished, elapsed time = 1569μs 
Thread 36 is finished, elapsed time = 2413μs 
Thread 42 is finished, elapsed time = 1296μs 
Thread 37 is finished, elapsed time = 2556μs 
Thread 38 is finished, elapsed time = 2446μs 
Thread 41 is finished, elapsed time = 2088μs 
Thread 46 is finished, elapsed time = 1361μs 
Thread 33 is finished, elapsed time = 3890μs 
Thread 45 is finished, elapsed time = 2127μs 
Thread 39 is finished, elapsed time = 3894μs 
Thread 50 is finished, elapsed time = 2366μs 
Thread 51 is finished, elapsed time = 2211μs 
Thread 43 is finished, elapsed time = 2270μs 
Thread 44 is finished, elapsed time = 3902μs 
Thread 48 is finished, elapsed time = 3271μs 
Thread 56 is finished, elapsed time = 1583μs 
Thread 49 is finished, elapsed time = 2379μs 
Thread 53 is finished, elapsed time = 2600μs 
Thread 55 is finished, elapsed time = 2189μs 
Thread 47 is finished, elapsed time = 3914μs 
Thread 54 is finished, elapsed time = 2561μs 
Thread 52 is finished, elapsed time = 3217μs 
Thread 61 is finished, elapsed time = 1541μs 
Thread 57 is finished, elapsed time = 2552μs 
Thread 60 is finished, elapsed time = 2138μs 
Thread 62 is finished, elapsed time = 2168μs 
Thread 64 is finished, elapsed time = 2113μs 
Thread 58 is finished, elapsed time = 3337μs 
Thread 63 is finished, elapsed time = 2430μs 
Thread 59 is finished, elapsed time = 3510μs 
Thread 65 is finished, elapsed time = 2830μs 
Thread 67 is finished, elapsed time = 2918μs 
Thread 68 is finished, elapsed time = 2763μs 
Thread 70 is finished, elapsed time = 2354μs 
Thread 72 is finished, elapsed time = 1890μs 
Thread 69 is finished, elapsed time = 2665μs 
Thread 66 is finished, elapsed time = 3639μs 
Thread 71 is finished, elapsed time = 2747μs 
Thread 73 is finished, elapsed time = 2362μs 
Thread 86 is finished, elapsed time = 1923μs 
Thread 74 is finished, elapsed time = 1930μs 
Thread 87 is finished, elapsed time = 2273μs 
Thread 126 is finished, elapsed time = 1916μs 
Thread 75 is finished, elapsed time = 2408μs 
Thread 127 is finished, elapsed time = 2162μs 
Thread 88 is finished, elapsed time = 1812μs 
Thread 150 is finished, elapsed time = 1561μs 
Thread 76 is finished, elapsed time = 1587μs 
Thread 128 is finished, elapsed time = 1752μs 
Thread 89 is finished, elapsed time = 1527μs 
Thread 154 is finished, elapsed time = 1730μs 
Thread 153 is finished, elapsed time = 2022μs 
Thread 155 is finished, elapsed time = 1690μs 
Thread 156 is finished, elapsed time = 1616μs 
Thread 158 is finished, elapsed time = 1505μs 
Thread 152 is finished, elapsed time = 2572μs 
Thread 161 is finished, elapsed time = 1212μs 
Thread 157 is finished, elapsed time = 1941μs 
Thread 160 is finished, elapsed time = 1634μs 
Thread 145 is finished, elapsed time = 1917μs 
Thread 77 is finished, elapsed time = 2172μs 
Thread 129 is finished, elapsed time = 1906μs 
Thread 121 is finished, elapsed time = 2117μs 
Thread 116 is finished, elapsed time = 1601μs 
Thread 107 is finished, elapsed time = 1698μs 
Thread 90 is finished, elapsed time = 2040μs 
Thread 104 is finished, elapsed time = 1707μs 
Thread 111 is finished, elapsed time = 1856μs 
Thread 162 is finished, elapsed time = 1177μs 
Thread 102 is finished, elapsed time = 1775μs 
Thread 130 is finished, elapsed time = 1907μs 
Thread 78 is finished, elapsed time = 1941μs 
Thread 98 is finished, elapsed time = 2653μs 
Thread 117 is finished, elapsed time = 1847μs 
Thread 166 is finished, elapsed time = 1447μs 
Thread 146 is finished, elapsed time = 2381μs 
Thread 93 is finished, elapsed time = 1349μs 
Thread 105 is finished, elapsed time = 1857μs 
Thread 165 is finished, elapsed time = 2091μs 
Thread 163 is finished, elapsed time = 2806μs 
Thread 168 is finished, elapsed time = 1438μs 
Thread 112 is finished, elapsed time = 2290μs 
Thread 96 is finished, elapsed time = 3426μs 
Thread 108 is finished, elapsed time = 2566μs 
Thread 122 is finished, elapsed time = 2936μs 
Thread 167 is finished, elapsed time = 2335μs 
Thread 91 is finished, elapsed time = 2955μs 
Thread 169 is finished, elapsed time = 1784μs 
Thread 101 is finished, elapsed time = 4397μs 
Thread 100 is finished, elapsed time = 4616μs 
Thread 134 is finished, elapsed time = 1533μs 
Thread 106 is finished, elapsed time = 1711μs 
Thread 82 is finished, elapsed time = 1752μs 
Thread 135 is finished, elapsed time = 2194μs 
Thread 115 is finished, elapsed time = 2896μs 
Thread 80 is finished, elapsed time = 2100μs 
Thread 103 is finished, elapsed time = 4042μs 
Thread 92 is finished, elapsed time = 2225μs 
Thread 172 is finished, elapsed time = 1945μs 
Thread 132 is finished, elapsed time = 2431μs 
