Number of Dyck words is 2
Processing Dyck words, elapsed time = 6143ns 
Dyck words use ~ 23.000000 bytes
Using 190 / 192 threads
Thread 0 is finished, elapsed time = 37μs 
Thread 1 is finished, elapsed time = 8459ns 
Thread 2 is finished, elapsed time = 2369ns 
Thread 3 is finished, elapsed time = 2408ns 
Thread 4 is finished, elapsed time = 6814ns 
Thread 5 is finished, elapsed time = 1911ns 
Thread 6 is finished, elapsed time = 2032ns 
Thread 7 is finished, elapsed time = 1879ns 
Thread 8 is finished, elapsed time = 6637ns 
Thread 9 is finished, elapsed time = 1806ns 
Thread 10 is finished, elapsed time = 2181ns 
Thread 11 is finished, elapsed time = 1873ns 
Thread 12 is finished, elapsed time = 4963ns 
Thread 13 is finished, elapsed time = 1859ns 
Thread 14 is finished, elapsed time = 2057ns 
Thread 15 is finished, elapsed time = 1811ns 
Thread 16 is finished, elapsed time = 4895ns 
Thread 17 is finished, elapsed time = 1823ns 
Thread 18 is finished, elapsed time = 2323ns 
Thread 19 is finished, elapsed time = 2025ns 
Thread 20 is finished, elapsed time = 6018ns 
Thread 21 is finished, elapsed time = 1912ns 
Thread 22 is finished, elapsed time = 2039ns 
Thread 23 is finished, elapsed time = 1655ns 
Thread 24 is finished, elapsed time = 4840ns 
Thread 25 is finished, elapsed time = 1989ns 
Thread 26 is finished, elapsed time = 1785ns 
Thread 27 is finished, elapsed time = 2526ns 
Thread 28 is finished, elapsed time = 3900ns 
Thread 29 is finished, elapsed time = 2678ns 
Thread 30 is finished, elapsed time = 1806ns 
Thread 31 is finished, elapsed time = 2506ns 
Thread 32 is finished, elapsed time = 3637ns 
Thread 33 is finished, elapsed time = 2420ns 
Thread 34 is finished, elapsed time = 1830ns 
Thread 35 is finished, elapsed time = 2135ns 
Thread 36 is finished, elapsed time = 4371ns 
Thread 37 is finished, elapsed time = 2248ns 
Thread 38 is finished, elapsed time = 1726ns 
Thread 39 is finished, elapsed time = 2143ns 
Thread 40 is finished, elapsed time = 4309ns 
Thread 41 is finished, elapsed time = 2378ns 
Thread 42 is finished, elapsed time = 3074ns 
Thread 43 is finished, elapsed time = 2037ns 
Thread 44 is finished, elapsed time = 4094ns 
Thread 45 is finished, elapsed time = 2039ns 
Thread 46 is finished, elapsed time = 1676ns 
Thread 47 is finished, elapsed time = 2051ns 
Thread 48 is finished, elapsed time = 4209ns 
Thread 49 is finished, elapsed time = 2021ns 
Thread 50 is finished, elapsed time = 1807ns 
Thread 51 is finished, elapsed time = 2092ns 
Thread 52 is finished, elapsed time = 3649ns 
Thread 53 is finished, elapsed time = 2742ns 
Thread 54 is finished, elapsed time = 1709ns 
Thread 55 is finished, elapsed time = 2156ns 
Thread 56 is finished, elapsed time = 3656ns 
Thread 57 is finished, elapsed time = 2637ns 
Thread 58 is finished, elapsed time = 1865ns 
Thread 59 is finished, elapsed time = 2129ns 
Thread 60 is finished, elapsed time = 4348ns 
Thread 61 is finished, elapsed time = 2631ns 
Thread 62 is finished, elapsed time = 1740ns 
Thread 63 is finished, elapsed time = 2021ns 
Thread 64 is finished, elapsed time = 4309ns 
Thread 65 is finished, elapsed time = 2088ns 
Thread 66 is finished, elapsed time = 1746ns 
Thread 67 is finished, elapsed time = 2047ns 
Thread 68 is finished, elapsed time = 3959ns 
Thread 69 is finished, elapsed time = 1979ns 
