Number of Dyck words is 58786
Processing Dyck words, elapsed time = 39ms 
Dyck words use ~ 2.721197 MB
Using 190 / 192 threads
Thread 40 is finished, elapsed time = 1018ms 
Thread 46 is finished, elapsed time = 1019ms 
Thread 45 is finished, elapsed time = 1039ms 
Thread 39 is finished, elapsed time = 1055ms 
Thread 44 is finished, elapsed time = 1058ms 
Thread 50 is finished, elapsed time = 1057ms 
Thread 5 is finished, elapsed time = 1071ms 
Thread 33 is finished, elapsed time = 1079ms 
Thread 4 is finished, elapsed time = 1085ms 
Thread 13 is finished, elapsed time = 1090ms 
Thread 76 is finished, elapsed time = 1048ms 
Thread 58 is finished, elapsed time = 1073ms 
Thread 32 is finished, elapsed time = 1095ms 
Thread 30 is finished, elapsed time = 1102ms 
Thread 3 is finished, elapsed time = 1109ms 
Thread 16 is finished, elapsed time = 1108ms 
Thread 17 is finished, elapsed time = 1108ms 
Thread 57 is finished, elapsed time = 1089ms 
Thread 63 is finished, elapsed time = 1090ms 
Thread 36 is finished, elapsed time = 1126ms 
Thread 77 is finished, elapsed time = 1089ms 
Thread 66 is finished, elapsed time = 1111ms 
Thread 115 is finished, elapsed time = 1043ms 
Thread 100 is finished, elapsed time = 1063ms 
Thread 78 is finished, elapsed time = 1098ms 
Thread 47 is finished, elapsed time = 1138ms 
Thread 18 is finished, elapsed time = 1148ms 
Thread 49 is finished, elapsed time = 1143ms 
Thread 116 is finished, elapsed time = 1054ms 
Thread 85 is finished, elapsed time = 1104ms 
Thread 125 is finished, elapsed time = 1045ms 
Thread 53 is finished, elapsed time = 1150ms 
Thread 117 is finished, elapsed time = 1065ms 
Thread 15 is finished, elapsed time = 1171ms 
Thread 98 is finished, elapsed time = 1098ms 
Thread 65 is finished, elapsed time = 1148ms 
Thread 99 is finished, elapsed time = 1104ms 
Thread 2 is finished, elapsed time = 1186ms 
Thread 79 is finished, elapsed time = 1136ms 
Thread 61 is finished, elapsed time = 1163ms 
Thread 88 is finished, elapsed time = 1128ms 
Thread 89 is finished, elapsed time = 1130ms 
Thread 126 is finished, elapsed time = 1078ms 
Thread 11 is finished, elapsed time = 1201ms 
Thread 106 is finished, elapsed time = 1112ms 
Thread 87 is finished, elapsed time = 1144ms 
Thread 172 is finished, elapsed time = 968ms 
Thread 189 is finished, elapsed time = 879ms 
Thread 150 is finished, elapsed time = 1045ms 
Thread 82 is finished, elapsed time = 1155ms 
Thread 114 is finished, elapsed time = 1110ms 
Thread 160 is finished, elapsed time = 1025ms 
Thread 75 is finished, elapsed time = 1172ms 
Thread 95 is finished, elapsed time = 1135ms 
Thread 159 is finished, elapsed time = 1030ms 
Thread 141 is finished, elapsed time = 1081ms 
Thread 137 is finished, elapsed time = 1084ms 
Thread 127 is finished, elapsed time = 1102ms 
Thread 157 is finished, elapsed time = 1044ms 
Thread 35 is finished, elapsed time = 1229ms 
Thread 161 is finished, elapsed time = 1042ms 
Thread 158 is finished, elapsed time = 1054ms 
Thread 133 is finished, elapsed time = 1109ms 
Thread 139 is finished, elapsed time = 1105ms 
Thread 182 is finished, elapsed time = 967ms 
Thread 181 is finished, elapsed time = 989ms 
Thread 142 is finished, elapsed time = 1103ms 
Thread 171 is finished, elapsed time = 1012ms 
Thread 151 is finished, elapsed time = 1084ms 
Thread 156 is finished, elapsed time = 1072ms 
Thread 183 is finished, elapsed time = 974ms 
