Number of Dyck words is 14
Processing Dyck words, elapsed time = 15μs 
Dyck words use ~ 280.000000 bytes
Using 190 / 192 threads
Thread 0 is finished, elapsed time = 51μs 
Thread 1 is finished, elapsed time = 11μs 
Thread 2 is finished, elapsed time = 3485ns 
Thread 3 is finished, elapsed time = 2895ns 
Thread 4 is finished, elapsed time = 4795ns 
Thread 5 is finished, elapsed time = 2765ns 
Thread 6 is finished, elapsed time = 2886ns 
Thread 7 is finished, elapsed time = 2363ns 
Thread 8 is finished, elapsed time = 5092ns 
Thread 9 is finished, elapsed time = 2865ns 
Thread 10 is finished, elapsed time = 2336ns 
Thread 11 is finished, elapsed time = 2746ns 
Thread 12 is finished, elapsed time = 5064ns 
Thread 13 is finished, elapsed time = 2564ns 
Thread 14 is finished, elapsed time = 1994ns 
Thread 15 is finished, elapsed time = 2195ns 
Thread 16 is finished, elapsed time = 4262ns 
Thread 17 is finished, elapsed time = 2325ns 
Thread 18 is finished, elapsed time = 1987ns 
Thread 19 is finished, elapsed time = 1900ns 
Thread 20 is finished, elapsed time = 4961ns 
Thread 21 is finished, elapsed time = 2099ns 
Thread 22 is finished, elapsed time = 2125ns 
Thread 23 is finished, elapsed time = 2310ns 
Thread 24 is finished, elapsed time = 5489ns 
Thread 25 is finished, elapsed time = 2010ns 
Thread 26 is finished, elapsed time = 1947ns 
Thread 27 is finished, elapsed time = 1822ns 
Thread 28 is finished, elapsed time = 4703ns 
Thread 29 is finished, elapsed time = 2107ns 
Thread 30 is finished, elapsed time = 1997ns 
Thread 31 is finished, elapsed time = 1807ns 
Thread 32 is finished, elapsed time = 4383ns 
Thread 33 is finished, elapsed time = 1674ns 
Thread 34 is finished, elapsed time = 1895ns 
Thread 35 is finished, elapsed time = 1947ns 
Thread 36 is finished, elapsed time = 5781ns 
Thread 37 is finished, elapsed time = 1972ns 
Thread 38 is finished, elapsed time = 1705ns 
Thread 39 is finished, elapsed time = 1966ns 
Thread 40 is finished, elapsed time = 4652ns 
Thread 41 is finished, elapsed time = 1947ns 
Thread 42 is finished, elapsed time = 1830ns 
Thread 43 is finished, elapsed time = 1890ns 
Thread 44 is finished, elapsed time = 4679ns 
Thread 45 is finished, elapsed time = 10μs 
Thread 46 is finished, elapsed time = 1836ns 
Thread 47 is finished, elapsed time = 2371ns 
Thread 48 is finished, elapsed time = 5112ns 
Thread 49 is finished, elapsed time = 1723ns 
Thread 50 is finished, elapsed time = 2000ns 
Thread 51 is finished, elapsed time = 1849ns 
Thread 52 is finished, elapsed time = 5090ns 
Thread 53 is finished, elapsed time = 1920ns 
Thread 54 is finished, elapsed time = 1795ns 
Thread 55 is finished, elapsed time = 2027ns 
Thread 56 is finished, elapsed time = 4571ns 
Thread 57 is finished, elapsed time = 1988ns 
Thread 58 is finished, elapsed time = 1861ns 
Thread 59 is finished, elapsed time = 1791ns 
Thread 60 is finished, elapsed time = 4361ns 
Thread 61 is finished, elapsed time = 1912ns 
Thread 62 is finished, elapsed time = 1767ns 
Thread 63 is finished, elapsed time = 1907ns 
Thread 64 is finished, elapsed time = 4849ns 
Thread 65 is finished, elapsed time = 1756ns 
Thread 66 is finished, elapsed time = 2912ns 
Thread 67 is finished, elapsed time = 1443ns 
Thread 68 is finished, elapsed time = 13μs 
Thread 69 is finished, elapsed time = 1658ns 
Thread 70 is finished, elapsed time = 1477ns 
Thread 71 is finished, elapsed time = 1498ns 
Thread 72 is finished, elapsed time = 5730ns 
Thread 73 is finished, elapsed time = 1633ns 
Thread 74 is finished, elapsed time = 1544ns 
Thread 75 is finished, elapsed time = 2018ns 
Thread 76 is finished, elapsed time = 4060ns 
Thread 77 is finished, elapsed time = 2571ns 
Thread 78 is finished, elapsed time = 1562ns 
Thread 79 is finished, elapsed time = 2025ns 
Thread 80 is finished, elapsed time = 4056ns 
Thread 81 is finished, elapsed time = 2539ns 
Thread 82 is finished, elapsed time = 1543ns 
Thread 83 is finished, elapsed time = 1879ns 
Thread 84 is finished, elapsed time = 3947ns 
Thread 85 is finished, elapsed time = 1980ns 
Thread 86 is finished, elapsed time = 1678ns 
