Number of Dyck words is 9694845
Processing Dyck words, elapsed time = 6615ms 
Dyck words use ~ 597.708907 MB
Using 190 / 192 threads
Thread 164 is finished, elapsed time = 25h 49m
Thread 184 is finished, elapsed time = 26h 15m
Thread 154 is finished, elapsed time = 26h 28m
Thread 155 is finished, elapsed time = 26h 29m
Thread 183 is finished, elapsed time = 26h 31m
Thread 178 is finished, elapsed time = 26h 32m
Thread 112 is finished, elapsed time = 26h 33m
Thread 156 is finished, elapsed time = 26h 34m
Thread 167 is finished, elapsed time = 26h 36m
Thread 116 is finished, elapsed time = 26h 36m
Thread 129 is finished, elapsed time = 26h 37m
Thread 188 is finished, elapsed time = 26h 40m
Thread 153 is finished, elapsed time = 26h 41m
Thread 117 is finished, elapsed time = 26h 43m
Thread 187 is finished, elapsed time = 26h 45m
Thread 180 is finished, elapsed time = 26h 48m
Thread 99 is finished, elapsed time = 26h 49m
Thread 181 is finished, elapsed time = 26h 50m
Thread 115 is finished, elapsed time = 26h 51m
Thread 128 is finished, elapsed time = 26h 53m
Thread 189 is finished, elapsed time = 26h 55m
Thread 171 is finished, elapsed time = 26h 56m
Thread 168 is finished, elapsed time = 26h 57m
Thread 185 is finished, elapsed time = 26h 57m
Thread 114 is finished, elapsed time = 26h 57m
Thread 113 is finished, elapsed time = 26h 58m
Thread 110 is finished, elapsed time = 26h 59m
Thread 179 is finished, elapsed time = 26h 59m
Thread 111 is finished, elapsed time = 26h 59m
Thread 118 is finished, elapsed time = 27h 1m
Thread 165 is finished, elapsed time = 27h 1m
Thread 98 is finished, elapsed time = 27h 2m
Thread 172 is finished, elapsed time = 27h 7m
Thread 152 is finished, elapsed time = 27h 7m
Thread 120 is finished, elapsed time = 27h 7m
Thread 101 is finished, elapsed time = 27h 8m
Thread 186 is finished, elapsed time = 27h 8m
Thread 97 is finished, elapsed time = 27h 8m
Thread 169 is finished, elapsed time = 27h 8m
Thread 182 is finished, elapsed time = 27h 9m
Thread 161 is finished, elapsed time = 27h 9m
Thread 158 is finished, elapsed time = 27h 11m
Thread 166 is finished, elapsed time = 27h 11m
Thread 140 is finished, elapsed time = 27h 11m
Thread 93 is finished, elapsed time = 27h 11m
Thread 157 is finished, elapsed time = 27h 12m
Thread 102 is finished, elapsed time = 27h 12m
Thread 159 is finished, elapsed time = 27h 13m
Thread 130 is finished, elapsed time = 27h 13m
Thread 92 is finished, elapsed time = 27h 14m
Thread 176 is finished, elapsed time = 27h 14m
Thread 106 is finished, elapsed time = 27h 15m
Thread 173 is finished, elapsed time = 27h 18m
Thread 170 is finished, elapsed time = 27h 18m
Thread 119 is finished, elapsed time = 27h 19m
Thread 107 is finished, elapsed time = 27h 20m
Thread 96 is finished, elapsed time = 27h 20m
Thread 143 is finished, elapsed time = 27h 22m
Thread 100 is finished, elapsed time = 27h 23m
Thread 175 is finished, elapsed time = 27h 25m
Thread 162 is finished, elapsed time = 27h 25m
Thread 144 is finished, elapsed time = 27h 26m
Thread 11 is finished, elapsed time = 27h 28m
Thread 125 is finished, elapsed time = 27h 28m
Thread 103 is finished, elapsed time = 27h 28m
Thread 12 is finished, elapsed time = 27h 30m
Thread 142 is finished, elapsed time = 27h 31m
Thread 174 is finished, elapsed time = 27h 32m
Thread 133 is finished, elapsed time = 27h 32m
Thread 124 is finished, elapsed time = 27h 33m
Thread 38 is finished, elapsed time = 27h 33m
Thread 108 is finished, elapsed time = 27h 33m
Thread 160 is finished, elapsed time = 27h 33m
Thread 28 is finished, elapsed time = 27h 34m
Thread 104 is finished, elapsed time = 27h 35m
Thread 94 is finished, elapsed time = 27h 37m
Thread 122 is finished, elapsed time = 27h 38m
Thread 90 is finished, elapsed time = 27h 38m
Thread 54 is finished, elapsed time = 27h 39m
Thread 78 is finished, elapsed time = 27h 39m
Thread 42 is finished, elapsed time = 27h 39m
Thread 121 is finished, elapsed time = 27h 39m
Thread 77 is finished, elapsed time = 27h 39m
Thread 95 is finished, elapsed time = 27h 40m
Thread 109 is finished, elapsed time = 27h 40m
Thread 71 is finished, elapsed time = 27h 41m
Thread 177 is finished, elapsed time = 27h 42m
Thread 56 is finished, elapsed time = 27h 42m
Thread 91 is finished, elapsed time = 27h 42m
Thread 131 is finished, elapsed time = 27h 43m
Thread 31 is finished, elapsed time = 27h 43m
Thread 79 is finished, elapsed time = 27h 44m
Thread 163 is finished, elapsed time = 27h 45m
Thread 37 is finished, elapsed time = 27h 45m
Thread 39 is finished, elapsed time = 27h 45m
Thread 36 is finished, elapsed time = 27h 45m
Thread 8 is finished, elapsed time = 27h 45m
Thread 132 is finished, elapsed time = 27h 46m
Thread 105 is finished, elapsed time = 27h 47m
Thread 145 is finished, elapsed time = 27h 47m
Thread 88 is finished, elapsed time = 27h 47m
Thread 82 is finished, elapsed time = 27h 47m
Thread 10 is finished, elapsed time = 27h 48m
Thread 146 is finished, elapsed time = 27h 48m
