Number of Dyck words is 5
Processing Dyck words, elapsed time = 8311ns 
Dyck words use ~ 79.000000 bytes
Using 190 / 192 threads
Thread 0 is finished, elapsed time = 33μs 
Thread 1 is finished, elapsed time = 9675ns 
Thread 2 is finished, elapsed time = 2893ns 
Thread 3 is finished, elapsed time = 3223ns 
Thread 4 is finished, elapsed time = 4863ns 
Thread 5 is finished, elapsed time = 2261ns 
Thread 6 is finished, elapsed time = 2113ns 
Thread 7 is finished, elapsed time = 1621ns 
Thread 8 is finished, elapsed time = 5482ns 
Thread 9 is finished, elapsed time = 1951ns 
Thread 10 is finished, elapsed time = 2198ns 
Thread 11 is finished, elapsed time = 1822ns 
Thread 12 is finished, elapsed time = 7452ns 
Thread 13 is finished, elapsed time = 1879ns 
Thread 14 is finished, elapsed time = 2069ns 
Thread 15 is finished, elapsed time = 1801ns 
Thread 16 is finished, elapsed time = 3730ns 
Thread 17 is finished, elapsed time = 1617ns 
Thread 18 is finished, elapsed time = 1717ns 
Thread 19 is finished, elapsed time = 2570ns 
Thread 20 is finished, elapsed time = 4256ns 
Thread 21 is finished, elapsed time = 2112ns 
Thread 22 is finished, elapsed time = 1725ns 
Thread 23 is finished, elapsed time = 2115ns 
Thread 24 is finished, elapsed time = 4302ns 
Thread 25 is finished, elapsed time = 2217ns 
Thread 26 is finished, elapsed time = 1848ns 
Thread 27 is finished, elapsed time = 2018ns 
Thread 28 is finished, elapsed time = 4662ns 
Thread 29 is finished, elapsed time = 2205ns 
Thread 30 is finished, elapsed time = 2731ns 
Thread 31 is finished, elapsed time = 2039ns 
Thread 32 is finished, elapsed time = 4356ns 
Thread 33 is finished, elapsed time = 2157ns 
Thread 34 is finished, elapsed time = 1795ns 
Thread 35 is finished, elapsed time = 2155ns 
Thread 36 is finished, elapsed time = 3926ns 
Thread 37 is finished, elapsed time = 2104ns 
Thread 38 is finished, elapsed time = 1799ns 
Thread 39 is finished, elapsed time = 2328ns 
Thread 40 is finished, elapsed time = 4625ns 
Thread 41 is finished, elapsed time = 1455ns 
Thread 42 is finished, elapsed time = 1687ns 
Thread 43 is finished, elapsed time = 2018ns 
Thread 44 is finished, elapsed time = 4259ns 
Thread 45 is finished, elapsed time = 1908ns 
Thread 46 is finished, elapsed time = 1789ns 
Thread 47 is finished, elapsed time = 1992ns 
Thread 48 is finished, elapsed time = 3976ns 
Thread 49 is finished, elapsed time = 2159ns 
Thread 50 is finished, elapsed time = 1719ns 
Thread 51 is finished, elapsed time = 2108ns 
Thread 52 is finished, elapsed time = 4940ns 
Thread 53 is finished, elapsed time = 2048ns 
Thread 54 is finished, elapsed time = 1871ns 
Thread 55 is finished, elapsed time = 5186ns 
Thread 56 is finished, elapsed time = 4023ns 
Thread 57 is finished, elapsed time = 2227ns 
Thread 58 is finished, elapsed time = 1675ns 
Thread 59 is finished, elapsed time = 1957ns 
Thread 60 is finished, elapsed time = 4049ns 
Thread 61 is finished, elapsed time = 1550ns 
Thread 62 is finished, elapsed time = 2090ns 
Thread 63 is finished, elapsed time = 1645ns 
Thread 64 is finished, elapsed time = 5814ns 
Thread 65 is finished, elapsed time = 1720ns 
Thread 66 is finished, elapsed time = 2057ns 
Thread 67 is finished, elapsed time = 1799ns 
Thread 68 is finished, elapsed time = 5502ns 
Thread 69 is finished, elapsed time = 1797ns 
Thread 70 is finished, elapsed time = 2058ns 
Thread 71 is finished, elapsed time = 1744ns 
Thread 72 is finished, elapsed time = 4791ns 
Thread 73 is finished, elapsed time = 1652ns 
Thread 74 is finished, elapsed time = 1527ns 
Thread 75 is finished, elapsed time = 1603ns 
Thread 76 is finished, elapsed time = 5157ns 
Thread 77 is finished, elapsed time = 1744ns 
Thread 78 is finished, elapsed time = 2109ns 
Thread 79 is finished, elapsed time = 2044ns 
Thread 80 is finished, elapsed time = 4027ns 
Thread 81 is finished, elapsed time = 2232ns 
Thread 82 is finished, elapsed time = 1713ns 
Thread 83 is finished, elapsed time = 2004ns 
Thread 84 is finished, elapsed time = 4346ns 
Thread 85 is finished, elapsed time = 2116ns 
Thread 86 is finished, elapsed time = 1871ns 
Thread 87 is finished, elapsed time = 2010ns 
Thread 88 is finished, elapsed time = 4832ns 
Thread 89 is finished, elapsed time = 2066ns 
Thread 90 is finished, elapsed time = 1679ns 
Thread 91 is finished, elapsed time = 2131ns 
Thread 92 is finished, elapsed time = 4232ns 
Thread 93 is finished, elapsed time = 2151ns 
Thread 94 is finished, elapsed time = 1734ns 
Thread 95 is finished, elapsed time = 2121ns 
Thread 96 is finished, elapsed time = 4893ns 
Thread 97 is finished, elapsed time = 1756ns 
